date,code,side,price,shares,fee,reason,signal_date,stop,target
2026-01-06,600029,buy,8.014005,1800,5.14425209,strategy_v2_modular_entry,2026-01-05,7.7126,8.913571428571428
2026-01-06,600115,buy,5.98299,2400,5.14359176,strategy_v2_modular_entry,2026-01-05,5.7623999999999995,6.673571428571428
2026-01-06,600219,buy,5.552775,2700,5.149924925,strategy_v2_modular_entry,2026-01-05,5.311599999999999,6.04
2026-01-06,601600,buy,13.286639999999998,1000,5.1328664,strategy_v2_modular_entry,2026-01-05,12.3578,14.545714285714284
2026-01-06,601899,buy,36.018,400,5.144072,strategy_v2_modular_entry,2026-01-05,33.5846,39.128571428571426
2026-01-06,000807,buy,34.31715,200,5.0,strategy_v2_modular_entry,2026-01-05,32.3204,38.200714285714284
2026-01-07,600219,add,5.70285,200,5.0114057,pyramid_add,2026-01-06,5.409599999999999,6.250714285714287
2026-01-12,601899,sell,38.20089,400,12.79298156,three_bars_no_high,2026-01-09,34.902857142857144,39.128571428571426
2026-01-12,000807,sell,34.232875,200,8.4232875,three_bars_no_high,2026-01-09,32.3204,38.200714285714284
2026-01-13,600029,sell,7.7961,1800,12.156819800000001,three_bars_no_high,2026-01-12,7.7126,8.913571428571428
2026-01-13,600115,sell,5.927035,2400,12.254690840000002,three_bars_no_high,2026-01-12,5.7623999999999995,6.673571428571428
2026-01-13,600219,sell,5.7671149999999995,2900,13.529563085,three_bars_no_high,2026-01-12,5.483,6.250714285714287
2026-01-14,601100,buy,119.81988,100,5.11981988,strategy_v2_modular_entry,2026-01-13,116.0516,136.77
2026-01-15,601100,sell,112.9435,100,10.7601185,close_stop,2026-01-14,116.0516,136.77
2026-01-15,600362,buy,59.119545,200,5.11823909,strategy_v2_modular_entry,2026-01-14,56.448,69.98285714285714
2026-01-15,601808,buy,15.50775,900,5.13956975,strategy_v2_modular_entry,2026-01-14,15.043,16.707142857142856
2026-01-15,000725,buy,4.542269999999999,700,5.0,strategy_v2_modular_entry,2026-01-14,4.4394,4.9921428571428565
2026-01-16,601600,sell,13.743125000000001,1000,12.008993750000002,three_bars_no_high,2026-01-15,13.222,14.545714285714284
2026-01-16,600426,buy,34.29714,300,5.10289142,strategy_v2_modular_entry,2026-01-15,32.339999999999996,38.33857142857143
2026-01-19,601808,sell,14.822585,900,11.803566515,close_stop,2026-01-16,15.043,16.707142857142856
2026-01-19,600089,buy,27.193589999999997,500,5.13596795,strategy_v2_modular_entry,2026-01-16,27.126399999999997,28.999999999999996
2026-01-20,000725,sell,4.507745,700,6.57771075,three_bars_no_high,2026-01-19,4.4394,4.9921428571428565
2026-01-20,600089,sell,30.88455,500,12.875560250000001,target_close_confirmed,2026-01-19,27.126399999999997,28.999999999999996
2026-01-21,600115,buy,6.3931949999999995,2400,5.15343668,strategy_v2_modular_entry,2026-01-20,5.9681999999999995,7.187142857142858
2026-01-21,600989,buy,22.011,700,5.154077,strategy_v2_modular_entry,2026-01-20,20.7564,24.19357142857143
2026-01-21,002493,buy,12.66633,100,5.0,strategy_v2_modular_entry,2026-01-20,11.887400000000001,14.185000000000002
2026-01-22,600362,sell,61.02947,200,11.22500594,three_bars_no_high,2026-01-21,59.426,69.98285714285714
2026-01-22,000975,buy,33.03651,400,5.0,strategy_v2_modular_entry,2026-01-21,32.6438,39.425
2026-01-23,600426,sell,38.68065000000001,300,10.918139450000002,target_close_confirmed,2026-01-22,35.534285714285716,38.33857142857143
2026-01-23,600176,buy,21.05052,600,5.12630312,strategy_v2_modular_entry,2026-01-22,20.148799999999998,23.51857142857143
2026-01-26,600115,sell,5.887055,2400,12.20575532,close_stop,2026-01-23,5.9681999999999995,7.187142857142858
2026-01-26,600989,add,22.481234999999998,200,5.04496247,pyramid_add,2026-01-23,21.854,24.875
2026-01-26,002493,add,13.72686,300,5.0,pyramid_add,2026-01-23,13.328,15.359285714285715
2026-01-27,600026,buy,15.137565,1000,5.15137565,strategy_v2_modular_entry,2026-01-26,14.2198,17.304285714285715
2026-01-27,000301,buy,12.316155,200,5.0,strategy_v2_modular_entry,2026-01-26,11.76,13.617857142857144
2026-01-28,600176,sell,20.62968,600,11.31268208,three_bars_no_high,2026-01-27,20.148799999999998,23.51857142857143
2026-01-28,600026,add,15.517755,300,5.046553265,pyramid_add,2026-01-27,14.621599999999999,17.448571428571427
2026-01-28,601899,buy,41.4207,100,5.0414207,strategy_v2_modular_entry,2026-01-27,38.8864,45.669285714285714
2026-01-28,000630,buy,7.733865,100,5.0,strategy_v2_modular_entry,2026-01-27,7.0657999999999985,8.695714285714285
