code,name,entry_date,exit_date,entry_price,exit_price,shares,gross_pnl,costs,net_pnl,holding_days,entry_reason,exit_reason,entry_costs,exit_costs,entry_count
601899,紫金矿业,2026-01-06,2026-01-12,36.018,38.20089,400,873.1560000000002,17.93705356,855.2189464400002,6,strategy_v2_modular_entry,three_bars_no_high,5.144072,12.79298156,1
000807,云铝股份,2026-01-06,2026-01-12,34.31715,34.232875,200,-16.85499999999962,13.4232875,-30.27828749999962,6,strategy_v2_modular_entry,three_bars_no_high,5.0,8.4232875,1
600029,南方航空,2026-01-06,2026-01-13,8.014005,7.7961,1800,-392.22899999999845,17.301071890000003,-409.53007188999845,7,strategy_v2_modular_entry,three_bars_no_high,5.14425209,12.156819800000001,1
600115,中国东航,2026-01-06,2026-01-13,5.98299,5.927035,2400,-134.29199999999994,17.3982826,-151.69028259999993,7,strategy_v2_modular_entry,three_bars_no_high,5.14359176,12.254690840000002,1
600219,南山铝业,2026-01-06,2026-01-13,5.563124999999999,5.7671149999999995,2900,591.5710000000004,23.690893709999997,567.8801062900004,7,strategy_v2_modular_entry,three_bars_no_high,10.161330625,13.529563085,2
601100,恒立液压,2026-01-14,2026-01-15,119.81988,112.9435,100,-687.6379999999997,15.87993838,-703.5179383799997,1,strategy_v2_modular_entry,close_stop,5.11981988,10.7601185,1
601600,中国铝业,2026-01-06,2026-01-16,13.286639999999998,13.743125000000001,1000,456.48500000000246,17.141860150000003,439.34313985000244,10,strategy_v2_modular_entry,three_bars_no_high,5.1328664,12.008993750000002,1
601808,中海油服,2026-01-15,2026-01-19,15.50775,14.822585,900,-616.6484999999997,16.943136265,-633.5916362649997,4,strategy_v2_modular_entry,close_stop,5.13956975,11.803566515,1
000725,京东方A,2026-01-15,2026-01-20,4.542269999999999,4.507745,700,-24.16749999999963,11.57771075,-35.74521074999963,5,strategy_v2_modular_entry,three_bars_no_high,5.0,6.57771075,1
600089,特变电工,2026-01-19,2026-01-20,27.193589999999997,30.88455,500,1845.480000000002,18.0115282,1827.4684718000021,1,strategy_v2_modular_entry,target_close_confirmed,5.13596795,12.875560250000001,1
600362,江西铜业,2026-01-15,2026-01-22,59.119545,61.02947,200,381.98500000000024,16.343245030000002,365.64175497000025,7,strategy_v2_modular_entry,three_bars_no_high,5.11823909,11.22500594,1
600426,华鲁恒升,2026-01-16,2026-01-23,34.29714,38.68065000000001,300,1315.0530000000024,16.02103087,1299.0319691300024,7,strategy_v2_modular_entry,target_close_confirmed,5.10289142,10.918139450000002,1
600115,中国东航,2026-01-21,2026-01-26,6.3931949999999995,5.887055,2400,-1214.7359999999985,17.359192,-1232.0951919999984,5,strategy_v2_modular_entry,close_stop,5.15343668,12.20575532,1
600176,中国巨石,2026-01-23,2026-01-28,21.05052,20.62968,600,-252.503999999999,16.4389852,-268.942985199999,5,strategy_v2_modular_entry,three_bars_no_high,5.12630312,11.31268208,1
000630,铜陵有色,2026-01-28,2026-01-30,7.733865,8.7956,100,106.17350000000005,10.439779999999999,95.73372000000005,2,strategy_v2_modular_entry,target_close_confirmed,5.0,5.43978,1
000975,山金国际,2026-01-22,2026-02-03,33.03651,30.614685,400,-968.7299999999993,16.122937,-984.8529369999993,12,strategy_v2_modular_entry,close_stop,5.0,11.122937,1
600989,宝丰能源,2026-01-21,2026-02-03,22.115496666666665,22.078955,900,-32.88749999999823,25.333279814999997,-58.220779814998224,13,strategy_v2_modular_entry,close_stop,10.199039469999999,15.134240345,2
002493,荣盛石化,2026-01-21,2026-02-03,13.4617275,13.743125000000001,400,112.55900000000025,17.748625,94.81037500000025,13,strategy_v2_modular_entry,time_stop,10.0,7.7486250000000005,2
601899,紫金矿业,2026-01-28,2026-02-03,41.4207,37.82108,100,-359.9619999999994,11.97029578,-371.93229577999944,6,strategy_v2_modular_entry,close_stop,5.0414207,6.92887508,1
601808,中海油服,2026-01-29,2026-02-03,17.008499999999998,15.652170000000002,200,-271.2659999999993,11.630538340000001,-282.89653833999927,5,strategy_v2_modular_entry,close_stop,5.034017,6.596521340000001,1
000301,东方盛虹,2026-01-27,2026-02-05,12.316155,12.5937,200,55.508999999999986,11.25937,44.24962999999998,9,strategy_v2_modular_entry,three_bars_no_high,5.0,6.2593700000000005,1
600522,中天科技,2026-01-29,2026-02-06,21.47073,20.48975,500,-490.48999999999944,15.332239900000001,-505.82223989999943,8,strategy_v2_modular_entry,close_stop,5.10735365,10.22488625,1
