as_of,code,name,industry,eligible
2026-01-05,600000,浦发银行,金融业,true
2026-01-05,600009,上海机场,交通运输、仓储和邮政业,true
2026-01-05,600010,包钢股份,制造业,true
2026-01-05,600011,华能国际,电力、热力、燃气及水生产和供应业,true
2026-01-05,600015,华夏银行,金融业,true
2026-01-05,600016,民生银行,金融业,true
2026-01-05,600018,上港集团,交通运输、仓储和邮政业,true
2026-01-05,600019,宝钢股份,制造业,true
2026-01-05,600023,浙能电力,电力、热力、燃气及水生产和供应业,true
2026-01-05,600025,华能水电,电力、热力、燃气及水生产和供应业,true
2026-01-05,600026,中远海能,交通运输、仓储和邮政业,true
2026-01-05,600027,华电国际,电力、热力、燃气及水生产和供应业,true
2026-01-05,600028,中国石化,采矿业,true
2026-01-05,600029,南方航空,交通运输、仓储和邮政业,true
2026-01-05,600030,中信证券,金融业,true
2026-01-05,600031,三一重工,制造业,true
2026-01-05,600036,招商银行,金融业,true
2026-01-05,600039,四川路桥,建筑业,true
2026-01-05,600048,保利发展,房地产业,true
2026-01-05,600050,中国联通,信息传输、软件和信息技术服务业,true
2026-01-05,600061,国投资本,金融业,true
2026-01-05,600066,宇通客车,制造业,true
2026-01-05,600085,同仁堂,制造业,true
2026-01-05,600089,特变电工,制造业,true
2026-01-05,600104,上汽集团,制造业,true
2026-01-05,600111,北方稀土,制造业,true
2026-01-05,600115,中国东航,交通运输、仓储和邮政业,true
2026-01-05,600150,中国船舶,制造业,true
2026-01-05,600160,巨化股份,制造业,true
2026-01-05,600161,天坛生物,制造业,true
2026-01-05,600176,中国巨石,制造业,true
2026-01-05,600183,生益科技,制造业,true
2026-01-05,600188,兖矿能源,采矿业,true
2026-01-05,600196,复星医药,制造业,true
2026-01-05,600219,南山铝业,制造业,true
2026-01-05,600233,圆通速递,交通运输、仓储和邮政业,true
2026-01-05,600276,恒瑞医药,制造业,true
2026-01-05,600309,万华化学,制造业,true
2026-01-05,600346,恒力石化,制造业,true
2026-01-05,600362,江西铜业,制造业,true
2026-01-05,600372,中航机载,制造业,true
2026-01-05,600377,宁沪高速,交通运输、仓储和邮政业,true
2026-01-05,600406,国电南瑞,信息传输、软件和信息技术服务业,true
2026-01-05,600415,小商品城,租赁和商务服务业,true
2026-01-05,600426,华鲁恒升,制造业,true
2026-01-05,600436,片仔癀,制造业,true
2026-01-05,600438,通威股份,制造业,true
2026-01-05,600460,士兰微,制造业,true
2026-01-05,600482,中国动力,制造业,true
