code,name,entry_date,exit_date,entry_price,exit_price,shares,gross_pnl,costs,net_pnl,holding_days,entry_reason,exit_reason
600288,大恒科技,2026-02-25,2026-03-03,69.30763649999999,67.680143,1300,-2115.7415499999815,66.867981284,-2182.6095312839816,6,观察（轻仓试探）,回避/减仓观察
600288,大恒科技,2026-03-12,2026-03-13,68.50723649999999,66.4177745,1300,-2716.300599999997,65.620761206,-2781.9213612059966,1,观察（轻仓试探）,回避/减仓观察
600288,大恒科技,2026-04-13,2026-04-29,64.3771725,63.7651015,1400,-856.8994000000004,67.846067996,-924.7454679960003,16,观察（轻仓试探）,回避/减仓观察
600288,大恒科技,2026-05-11,2026-05-14,66.69433049999999,66.4177745,1300,-359.52279999999917,65.620761206,-425.14356120599916,3,观察（轻仓试探）,回避/减仓观察
300568,星源材质,2026-02-24,2026-02-27,103.977963,101.54120400000001,900,-2193.0830999999953,68.54031270000002,-2261.6234126999952,3,观察（轻仓试探）,回避/减仓观察
300568,星源材质,2026-03-12,2026-03-20,106.5862665,100.787581,800,-4638.948399999992,60.47254860000001,-4699.420948599992,8,观察（轻仓试探）,回避/减仓观察
300568,星源材质,2026-04-13,2026-05-28,111.1865655,121.2943225,700,7075.429900000005,63.6795193125,7011.750380687505,45,观察（轻仓试探）,回避/减仓观察
300568,星源材质,2026-06-15,2026-06-18,133.9119225,142.4897195,700,6004.457900000003,74.8071027375,5929.650797262503,3,入选,回避/减仓观察
688106,金宏气体,2026-02-27,2026-03-04,24.608297999999998,26.212887000000002,3800,6097.438200000016,75.70281765600001,6021.735382344016,5,入选,回避/减仓观察
688106,金宏气体,2026-04-21,2026-04-24,30.931458,36.817582,3200,18835.596800000007,89.540359424,18746.056440576005,3,观察（轻仓试探）,回避/减仓观察
688106,金宏气体,2026-06-17,2026-06-23,30.799391999999997,34.696643,3800,14809.553800000016,100.20390498399999,14709.349895016016,6,观察（轻仓试探）,回避/减仓观察
002132,恒星科技,2026-03-03,2026-03-04,22.9804845,21.563213,4100,-5810.813149999993,66.306879975,-5877.120029974993,1,观察（轻仓试探）,回避/减仓观察
002132,恒星科技,2026-03-12,2026-03-20,23.387688,21.912038499999998,3800,-5607.468100000011,62.44930972499999,-5669.917409725011,8,观察（轻仓试探）,回避/减仓观察
002132,恒星科技,2026-04-08,2026-04-16,23.8529205,24.468759500000004,3500,2155.4365000000166,64.23049368750003,2091.2060063125164,8,观察（轻仓试探）,回避/减仓观察
002132,恒星科技,2026-06-09,2026-06-12,33.3336585,31.382301000000002,2500,-4878.393749999992,58.841814375,-4937.235564374992,3,入选,回避/减仓观察
002132,恒星科技,2026-07-01,2026-07-01,32.112047999999994,32.619,2500,1267.3800000000135,61.160624999999996,1206.2193750000135,0,观察（轻仓试探）,end_of_backtest
603638,艾迪精密,2026-01-09,2026-01-15,90.537246,89.869043,1000,-668.2029999999912,68.30047268,-736.5034726799912,6,观察（轻仓试探）,回避/减仓观察
603638,艾迪精密,2026-04-14,2026-05-28,94.6302915,112.75659350000001,900,16313.67180000001,77.12550995400001,16236.54629004601,44,观察（轻仓试探）,回避/减仓观察
603638,艾迪精密,2026-06-16,2026-06-23,115.93894049999999,108.75659450000002,900,-6464.111399999971,74.38951063800002,-6538.50091063797,7,观察（轻仓试探）,回避/减仓观察
301282,金禄电子,2026-01-22,2026-01-27,31.191587999999996,30.680652000000002,3000,-1532.8079999999816,69.031467,-1601.8394669999816,5,观察（轻仓试探）,回避/减仓观察
301282,金禄电子,2026-02-26,2026-03-05,31.501742999999998,30.640672000000002,2900,-2497.105899999987,66.64346160000001,-2563.749361599987,7,观察（轻仓试探）,回避/减仓观察
301282,金禄电子,2026-06-05,2026-06-11,43.919949,37.487247,2000,-12865.403999999999,56.23087050000001,-12921.634870499998,6,入选,回避/减仓观察
301282,金禄电子,2026-06-26,2026-06-29,43.417698,41.407286,1800,-3618.741600000004,55.899836099999995,-3674.641436100004,3,观察（轻仓试探）,回避/减仓观察
600203,福日电子,2026-01-12,2026-01-16,22.745367,22.360814,4100,-1576.6673000000014,69.676296424,-1646.3435964240014,4,观察（轻仓试探）,回避/减仓观察
600203,福日电子,2026-02-26,2026-03-03,21.360675,20.763613000000003,4300,-2567.3665999999894,67.85548728400002,-2635.2220872839894,5,观察（轻仓试探）,回避/减仓观察
600203,福日电子,2026-04-15,2026-05-21,19.2846375,20.944522499999998,4700,7801.459499999996,74.81383437,7726.645665629996,36,观察（轻仓试探）,回避/减仓观察
600203,福日电子,2026-05-28,2026-06-01,22.827408,21.191399000000004,4300,-7034.838699999976,69.25349193200003,-7104.092191931975,4,观察（轻仓试探）,回避/减仓观察
600203,福日电子,2026-06-24,2026-06-25,20.9494695,20.434777500000003,4300,-2213.1755999999855,66.78085287000002,-2279.9564528699857,1,观察（轻仓试探）,回避/减仓观察
300390,天华新能,2026-02-26,2026-03-03,466.5301485,403.77301250000005,200,-12551.42719999999,60.565951875,-12611.993151874989,5,观察（轻仓试探）,回避/减仓观察
300390,天华新能,2026-03-13,2026-03-20,427.5106485,403.69505150000003,100,-2381.559699999997,30.2771288625,-2411.836828862497,7,观察（轻仓试探）,回避/减仓观察
300390,天华新能,2026-06-15,2026-06-23,779.4665385,745.1642315,100,-3430.230699999993,55.887317362500006,-3486.118017362493,8,观察（轻仓试探）,回避/减仓观察
