code,name,industry
000001,平安银行,UNMAPPED_000
000002,万科A,房地产业
000004,国华退,信息传输、软件和信息技术服务业
000005,ST星源,UNMAPPED_000
000006,深振业A,房地产业
000007,全新好,房地产业
000008,神州高铁,制造业
000009,中国宝安,金融业
000010,*ST美丽,建筑业
000011,深物业A,房地产业
000012,南玻A,制造业
000014,沙河股份,房地产业
000016,*ST康佳A,制造业
000017,深中华A,制造业
000018,神城A退,UNMAPPED_000
000019,深粮控股,批发和零售业
000020,深华发A,制造业
000021,深科技,制造业
000022,深赤湾A,UNMAPPED_000
000023,*ST深天,UNMAPPED_000
000025,特力A,批发和零售业
000026,飞亚达,批发和零售业
000027,深圳能源,电力、热力、燃气及水生产和供应业
000028,国药一致,批发和零售业
000029,深深房A,房地产业
000030,富奥股份,制造业
000031,大悦城,房地产业
000032,深桑达A,建筑业
000034,神州数码,批发和零售业
000035,中国天楹,水利、环境和公共设施管理业
000036,华联控股,房地产业
000037,深南电A,电力、热力、燃气及水生产和供应业
000038,大通退,UNMAPPED_000
000039,中集集团,制造业
000040,*ST旭蓝,UNMAPPED_000
000042,中洲控股,房地产业
000043,中航善达,UNMAPPED_000
000045,深纺织A,制造业
000046,*ST泛海,UNMAPPED_000
000048,京基智农,农、林、牧、渔业
000049,德赛电池,制造业
000050,深天马A,制造业
000055,方大集团,制造业
000056,*ST皇庭,租赁和商务服务业
000058,深赛格,租赁和商务服务业
000059,华锦股份,制造业
000060,中金岭南,制造业
000061,农产品,租赁和商务服务业
000062,深圳华强,批发和零售业
000063,中兴通讯,制造业
000065,北方国际,批发和零售业
000066,中国长城,制造业
000068,华控赛格,批发和零售业
000069,华侨城A,房地产业
000070,特发信息,制造业
000078,ST海王,批发和零售业
000088,盐田港,交通运输、仓储和邮政业
000089,深圳机场,交通运输、仓储和邮政业
000090,天健集团,建筑业
000096,广聚能源,批发和零售业
000099,中信海直,交通运输、仓储和邮政业
000100,TCL科技,制造业
000150,*ST宜康,UNMAPPED_000
000151,中成股份,批发和零售业
000153,丰原药业,制造业
000155,川能动力,电力、热力、燃气及水生产和供应业
000156,华数传媒,信息传输、软件和信息技术服务业
000157,中联重科,制造业
000158,常山北明,信息传输、软件和信息技术服务业
000159,国际实业,批发和零售业
000166,申万宏源,金融业
000301,东方盛虹,制造业
000333,美的集团,制造业
000338,潍柴动力,制造业
000400,许继电气,制造业
000401,金隅冀东,制造业
000402,金融街,房地产业
000403,派林生物,制造业
000404,长虹华意,制造业
000407,胜利股份,电力、热力、燃气及水生产和供应业
000408,藏格矿业,制造业
000409,云鼎科技,信息传输、软件和信息技术服务业
000410,沈阳机床,制造业
000411,英特集团,批发和零售业
000413,ST旭电,UNMAPPED_000
000415,渤海租赁,租赁和商务服务业
000416,*ST民控,UNMAPPED_000
000417,合百集团,批发和零售业
000418,小天鹅A,UNMAPPED_000
000419,通程控股,批发和零售业
000420,吉林化纤,制造业
000421,南京公用,电力、热力、燃气及水生产和供应业
000422,湖北宜化,制造业
000423,东阿阿胶,制造业
000425,徐工机械,制造业
000426,兴业银锡,采矿业
000428,华天酒店,住宿和餐饮业
000429,粤高速A,交通运输、仓储和邮政业
000430,张家界,水利、环境和公共设施管理业
000488,ST晨鸣,制造业
000498,山东路桥,建筑业
000501,武商集团,批发和零售业
000502,绿景退,UNMAPPED_000
000503,国新健康,信息传输、软件和信息技术服务业
000504,南华生物,科学研究和技术服务业
000505,京粮控股,制造业
000506,招金黄金,采矿业
000507,珠海港,交通运输、仓储和邮政业
000509,华塑控股,制造业
000510,新金路,制造业
000511,烯碳退,UNMAPPED_000
000513,丽珠集团,制造业
000514,渝开发,房地产业
000516,国际医学,卫生和社会工作
000517,荣安地产,房地产业
000518,四环生物,制造业
000519,中兵红箭,制造业
000520,凤凰航运,交通运输、仓储和邮政业
000521,长虹美菱,制造业
000523,红棉股份,制造业
000524,岭南控股,租赁和商务服务业
000525,红太阳,制造业
000526,学大教育,教育
000528,柳工,制造业
000529,广弘控股,制造业
000530,冰山冷热,制造业
000531,穗恒运A,电力、热力、燃气及水生产和供应业
000532,华金资本,综合
000533,顺钠股份,制造业
000534,万泽股份,制造业
000536,华映科技,制造业
000537,绿发电力,电力、热力、燃气及水生产和供应业
000538,云南白药,制造业
000539,粤电力A,电力、热力、燃气及水生产和供应业
000540,*ST中天,UNMAPPED_000
000541,佛山照明,制造业
000543,皖能电力,电力、热力、燃气及水生产和供应业
000544,中原环保,电力、热力、燃气及水生产和供应业
000545,金浦钛业,制造业
000546,金圆股份,制造业
000547,航天发展,制造业
000548,湖南投资,交通运输、仓储和邮政业
000550,江铃汽车,制造业
000551,创元科技,制造业
000552,甘肃能化,采矿业
000553,安道麦A,制造业
000554,泰山石油,批发和零售业
000555,神州信息,信息传输、软件和信息技术服务业
000557,西部创业,交通运输、仓储和邮政业
000558,天府文旅,水利、环境和公共设施管理业
000559,万向钱潮,制造业
000560,我爱我家,房地产业
000561,烽火电子,制造业
000563,陕国投A,金融业
000564,供销大集,批发和零售业
000565,渝三峡A,制造业
000566,海南海药,制造业
000567,海德股份,金融业
000568,泸州老窖,制造业
000570,苏常柴A,制造业
000571,新大洲A,采矿业
000572,海马汽车,制造业
000573,粤宏远A,制造业
000576,甘化科工,制造业
000581,威孚高科,制造业
000582,北部湾港,交通运输、仓储和邮政业
000584,工智退,UNMAPPED_000
000585,东电退,UNMAPPED_000
000586,汇源通信,制造业
000587,*ST金洲,UNMAPPED_000
000589,贵州轮胎,制造业
000590,古汉医药,制造业
000591,太阳能,电力、热力、燃气及水生产和供应业
000592,平潭发展,制造业
000593,德龙汇能,电力、热力、燃气及水生产和供应业
000595,宝塔实业,制造业
000596,古井贡酒,制造业
000597,东北制药,制造业
000598,兴蓉环境,电力、热力、燃气及水生产和供应业
000599,青岛双星,制造业
000600,建投能源,电力、热力、燃气及水生产和供应业
000601,韶能股份,电力、热力、燃气及水生产和供应业
000603,盛达资源,采矿业
000605,渤海股份,电力、热力、燃气及水生产和供应业
000606,顺利退,UNMAPPED_000
000607,华媒控股,租赁和商务服务业
000608,阳光股份,房地产业
000609,*ST中迪,综合
000610,*ST西旅,租赁和商务服务业
000611,天首退,UNMAPPED_000
000612,焦作万方,制造业
000613,东海A退,UNMAPPED_000
000615,*ST美谷,卫生和社会工作
000616,*ST海投,UNMAPPED_000
000617,中油资本,金融业
000619,海螺新材,制造业
000620,盈新发展,房地产业
000622,恒立退,UNMAPPED_000
000623,吉林敖东,制造业
000625,长安汽车,制造业
000626,远大控股,批发和零售业
000627,*ST天茂,UNMAPPED_000
000628,高新发展,建筑业
000629,钒钛股份,制造业
000630,铜陵有色,制造业
000631,顺发恒能,房地产业
000632,ST三木,批发和零售业
000633,合金投资,制造业
000635,英力特,制造业
000636,风华高科,制造业
000637,茂化实华,制造业
000638,*ST万方,UNMAPPED_000
000639,ST西王,制造业
000650,仁和药业,制造业
000651,格力电器,制造业
000652,泰达股份,批发和零售业
000655,金岭矿业,采矿业
000656,金科股份,房地产业
000657,中钨高新,制造业
000659,珠海中富,制造业
000661,长春高新,制造业
000662,天夏退,UNMAPPED_000
000663,永安林业,农、林、牧、渔业
000665,湖北广电,信息传输、软件和信息技术服务业
000666,经纬纺机,UNMAPPED_000
000667,ST美置,UNMAPPED_000
000668,荣丰控股,房地产业
000669,ST金鸿,电力、热力、燃气及水生产和供应业
000670,盈方微,批发和零售业
000671,ST阳光城,UNMAPPED_000
