date,eligible_count
2016-01-04,655
2016-01-05,660
2016-01-06,659
2016-01-07,629
2016-01-08,623
2016-01-11,629
2016-01-12,621
2016-01-13,612
2016-01-14,608
2016-01-15,574
2016-01-18,536
2016-01-19,521
2016-01-20,497
2016-01-21,466
2016-01-22,443
2016-01-25,430
2016-01-26,419
2016-01-27,415
2016-01-28,401
2016-01-29,380
2016-02-01,370
2016-02-02,354
2016-02-03,336
2016-02-04,340
2016-02-05,319
2016-02-15,304
2016-02-16,305
2016-02-17,305
2016-02-18,304
2016-02-19,308
2016-02-22,311
2016-02-23,313
2016-02-24,314
2016-02-25,320
2016-02-26,323
2016-02-29,332
2016-03-01,325
2016-03-02,331
2016-03-03,347
2016-03-04,362
2016-03-07,374
2016-03-08,389
2016-03-09,397
2016-03-10,400
2016-03-11,406
2016-03-14,407
2016-03-15,409
2016-03-16,398
2016-03-17,390
2016-03-18,411
2016-03-21,431
2016-03-22,439
2016-03-23,439
2016-03-24,444
2016-03-25,441
2016-03-28,445
2016-03-29,451
2016-03-30,448
2016-03-31,451
2016-04-01,434
2016-04-05,444
2016-04-06,455
2016-04-07,465
2016-04-08,473
2016-04-11,487
2016-04-12,492
2016-04-13,523
2016-04-14,538
2016-04-15,547
2016-04-18,524
2016-04-19,501
2016-04-20,501
2016-04-21,492
2016-04-22,485
2016-04-25,477
2016-04-26,461
2016-04-27,454
2016-04-28,448
2016-04-29,427
2016-05-03,428
2016-05-04,421
2016-05-05,413
2016-05-06,404
2016-05-09,393
2016-05-10,375
2016-05-11,363
2016-05-12,326
2016-05-13,304
2016-05-16,289
2016-05-17,280
2016-05-18,281
2016-05-19,254
2016-05-20,244
2016-05-23,241
2016-05-24,235
2016-05-25,238
2016-05-26,244
2016-05-27,245
2016-05-30,248
2016-05-31,251
2016-06-01,263
2016-06-02,268
2016-06-03,267
2016-06-06,264
2016-06-07,268
2016-06-08,275
2016-06-13,283
2016-06-14,297
2016-06-15,304
2016-06-16,311
2016-06-17,319
2016-06-20,327
2016-06-21,339
2016-06-22,343
2016-06-23,353
2016-06-24,365
2016-06-27,383
2016-06-28,396
2016-06-29,414
2016-06-30,407
2016-07-01,405
2016-07-04,417
2016-07-05,425
2016-07-06,435
2016-07-07,453
2016-07-08,459
2016-07-11,458
2016-07-12,482
2016-07-13,485
2016-07-14,479
2016-07-15,484
2016-07-18,492
2016-07-19,488
2016-07-20,481
2016-07-21,482
2016-07-22,479
2016-07-25,468
2016-07-26,455
2016-07-27,467
2016-07-28,465
2016-07-29,462
2016-08-01,449
2016-08-02,427
2016-08-03,415
2016-08-04,394
2016-08-05,378
2016-08-08,365
2016-08-09,350
2016-08-10,338
2016-08-11,327
2016-08-12,326
2016-08-15,330
2016-08-16,350
2016-08-17,355
2016-08-18,352
2016-08-19,350
2016-08-22,346
2016-08-23,349
2016-08-24,321
2016-08-25,309
2016-08-26,306
2016-08-29,308
2016-08-30,312
2016-08-31,311
2016-09-01,312
2016-09-02,316
2016-09-05,319
2016-09-06,321
2016-09-07,326
2016-09-08,322
2016-09-09,322
2016-09-12,307
2016-09-13,296
2016-09-14,277
2016-09-19,268
2016-09-20,256
2016-09-21,250
2016-09-22,252
2016-09-23,245
2016-09-26,238
2016-09-27,226
2016-09-28,223
2016-09-29,222
2016-09-30,206
2016-10-10,204
2016-10-11,205
2016-10-12,210
2016-10-13,207
2016-10-14,198
2016-10-17,200
2016-10-18,198
2016-10-19,190
2016-10-20,191
2016-10-21,200
2016-10-24,211
2016-10-25,219
2016-10-26,234
2016-10-27,243
2016-10-28,249
2016-10-31,248
2016-11-01,242
2016-11-02,251
2016-11-03,266
2016-11-04,282
2016-11-07,288
2016-11-08,289
2016-11-09,297
2016-11-10,302
2016-11-11,324
2016-11-14,339
2016-11-15,337
2016-11-16,333
2016-11-17,341
2016-11-18,342
2016-11-21,337
2016-11-22,343
2016-11-23,348
2016-11-24,356
2016-11-25,363
2016-11-28,369
2016-11-29,377
2016-11-30,382
2016-12-01,382
2016-12-02,380
2016-12-05,385
2016-12-06,380
2016-12-07,373
2016-12-08,367
2016-12-09,353
2016-12-12,346
2016-12-13,344
2016-12-14,338
2016-12-15,331
2016-12-16,336
2016-12-19,329
2016-12-20,322
2016-12-21,316
2016-12-22,297
2016-12-23,288
2016-12-26,275
2016-12-27,270
2016-12-28,260
2016-12-29,251
2016-12-30,247
2017-01-03,243
2017-01-04,240
2017-01-05,245
2017-01-06,247
2017-01-09,245
2017-01-10,238
2017-01-11,239
2017-01-12,237
2017-01-13,228
2017-01-16,235
2017-01-17,228
2017-01-18,232
2017-01-19,224
2017-01-20,219
2017-01-23,216
2017-01-24,213
2017-01-25,206
2017-01-26,201
2017-02-03,194
2017-02-06,196
2017-02-07,196
2017-02-08,196
2017-02-09,189
2017-02-10,190
2017-02-13,196
2017-02-14,205
2017-02-15,210
2017-02-16,210
2017-02-17,217
2017-02-20,210
2017-02-21,219
