date,code,side,price,shares,fee,reason,signal_date,stop,target
2026-01-06,000933,buy,29.324654999999996,500,5.0,strategy_v5_alpha_entry,2026-01-05,27.6948,31.523571428571426
2026-01-06,002379,buy,25.6128,500,5.0,strategy_v5_alpha_entry,2026-01-05,24.1668,28.340714285714284
2026-01-06,002446,buy,10.625309999999999,1200,5.0,strategy_v5_alpha_entry,2026-01-05,10.29,12.602142857142857
2026-01-07,000426,buy,41.0205,300,5.0,strategy_v5_alpha_entry,2026-01-06,38.122,46.67571428571428
2026-01-07,000603,buy,34.327155,300,5.0,strategy_v5_alpha_entry,2026-01-06,31.7912,40.28785714285714
2026-01-08,000426,add,41.960969999999996,100,5.0,pyramid_add,2026-01-07,39.935,48.80428571428571
2026-01-13,002379,sell,28.555715000000003,500,12.138928750000002,target_close_confirmed,2026-01-12,25.823,28.340714285714284
2026-01-13,002446,sell,13.873060000000002,1200,13.323836000000002,target_close_confirmed,2026-01-12,11.988571428571428,12.602142857142857
2026-01-14,601100,buy,119.81988,100,5.11981988,strategy_v5_alpha_entry,2026-01-13,116.0516,136.77
2026-01-14,601212,buy,6.7033499999999995,2000,5.134067,strategy_v5_alpha_entry,2026-01-13,6.1642,7.675000000000001
2026-01-15,000426,sell,50.364805000000004,400,15.109441500000003,target_close_confirmed,2026-01-14,45.02428571428572,48.80428571428571
2026-01-15,000603,sell,40.53972,300,11.080958,target_close_confirmed,2026-01-14,36.31714285714286,40.28785714285714
2026-01-15,601100,sell,112.9435,100,10.7601185,close_stop,2026-01-14,116.0516,136.77
2026-01-16,601212,add,7.0035,700,5.0490245,pyramid_add,2026-01-15,6.6444,8.422142857142857
2026-01-16,002281,buy,78.039,100,5.0,strategy_v5_alpha_entry,2026-01-15,75.166,89.57
2026-01-16,600650,buy,16.88844,900,5.15199596,strategy_v5_alpha_entry,2026-01-15,16.718799999999998,19.020714285714284
2026-01-19,600650,sell,16.081955,900,12.381617345,close_stop,2026-01-16,16.718799999999998,19.020714285714284
2026-01-19,002560,buy,10.855424999999999,100,5.0,strategy_v5_alpha_entry,2026-01-16,10.3684,12.390714285714285
2026-01-20,000933,sell,31.934025000000002,500,12.983506250000001,target_close_confirmed,2026-01-19,30.421,31.523571428571426
2026-01-20,002281,sell,72.83356500000001,100,8.64167825,close_stop,2026-01-19,75.166,89.57
2026-01-20,688291,buy,51.28563,200,5.10257126,strategy_v5_alpha_entry,2026-01-19,46.55,63.78928571428571
2026-01-21,600486,buy,74.13704999999999,200,5.1482741,strategy_v5_alpha_entry,2026-01-20,70.7364,81.86214285714287
2026-01-22,601212,sell,8.245875,2700,16.920535499999996,target_close_confirmed,2026-01-21,7.585714285714285,8.422142857142857
2026-01-23,002080,buy,41.350665,300,5.0,strategy_v5_alpha_entry,2026-01-22,38.416000000000004,46.7
2026-01-23,300731,buy,63.79187999999999,100,5.0,strategy_v5_alpha_entry,2026-01-22,61.936,76.5
2026-01-26,300731,sell,60.179895,100,8.00899475,close_stop,2026-01-23,61.936,76.5
2026-01-27,300242,buy,6.48324,2100,5.0,strategy_v5_alpha_entry,2026-01-26,6.1544,8.107142857142856
2026-01-28,002560,sell,10.83458,100,5.541729,time_stop,2026-01-27,10.453,12.390714285714285
2026-01-28,002080,sell,38.9805,300,10.847075,three_bars_no_high,2026-01-27,38.416000000000004,46.7
2026-01-29,688291,sell,46.95651,200,9.78956402,time_stop,2026-01-28,46.55,63.78928571428571
2026-01-29,300242,sell,5.937030000000001,2100,11.233881500000003,close_stop,2026-01-28,6.1544,8.107142857142856
2026-01-29,300244,buy,24.03201,600,5.0,strategy_v5_alpha_entry,2026-01-28,23.666999999999998,26.06
2026-01-29,300708,buy,10.38519,1600,5.0,strategy_v5_alpha_entry,2026-01-28,9.9274,11.8
2026-01-30,300244,sell,24.7876,600,12.43628,close_stop,2026-01-29,25.771,26.06
2026-01-30,300863,buy,55.097535,200,5.0,strategy_v5_alpha_entry,2026-01-29,53.76279999999999,58.47
2026-02-02,300863,sell,60.41977500000001,200,11.041977500000002,target_close_confirmed,2026-01-30,58.444,58.47
2026-02-02,000560,buy,3.3216599999999996,5000,5.0,strategy_v5_alpha_entry,2026-01-30,3.2144,3.7449999999999997
2026-02-02,000863,buy,6.713355,2500,5.0,strategy_v5_alpha_entry,2026-01-30,6.3797999999999995,7.766428571428572
2026-02-03,600486,sell,73.833065,200,12.530972629999999,close_stop,2026-02-02,76.62700000000001,81.86214285714287
2026-02-03,300708,sell,10.044975,1600,13.03598,close_stop,2026-02-02,9.9274,11.8
2026-02-03,000560,sell,3.27836,5000,13.1959,close_stop,2026-02-02,3.2144,3.7449999999999997
2026-02-03,000863,sell,6.17691,2500,12.721137500000001,close_stop,2026-02-02,6.3797999999999995,7.766428571428572
2026-02-05,000738,buy,26.763375,600,5.0,strategy_v5_alpha_entry,2026-02-04,25.676,32.47714285714286
2026-02-05,000962,buy,44.92245,300,5.0,strategy_v5_alpha_entry,2026-02-04,43.365,53.816428571428574
2026-02-05,002922,buy,44.022,300,5.0,strategy_v5_alpha_entry,2026-02-04,41.9538,52.326428571428565
2026-02-05,600763,buy,48.524249999999995,300,5.14557275,strategy_v5_alpha_entry,2026-02-04,46.8244,53.970000000000006
2026-02-05,601872,buy,12.006,1300,5.156078,strategy_v5_alpha_entry,2026-02-04,11.2602,13.669285714285714
2026-02-06,000962,sell,40.75961,300,11.1139415,close_stop,2026-02-05,43.365,53.816428571428574
2026-02-06,002922,sell,39.470255,300,10.92053825,close_stop,2026-02-05,41.9538,52.326428571428565
2026-02-11,000738,sell,27.346320000000002,600,13.203896,three_bars_no_high,2026-02-10,26.179000000000002,32.47714285714286
2026-02-11,600763,sell,48.625675,300,12.439728275,three_bars_no_high,2026-02-10,47.318,53.970000000000006
2026-02-11,000338,buy,25.65282,300,5.0,strategy_v5_alpha_entry,2026-02-10,24.793999999999997,29.70214285714286
2026-02-11,002041,buy,10.4052,700,5.0,strategy_v5_alpha_entry,2026-02-10,10.2214,10.97
2026-02-12,300738,buy,25.79289,200,5.0,strategy_v5_alpha_entry,2026-02-11,23.7944,29.69
2026-02-12,300739,buy,21.140565,300,5.0,strategy_v5_alpha_entry,2026-02-11,19.991999999999997,24.032857142857143
2026-02-13,002041,sell,10.294850000000002,700,8.6031975,ma20_break,2026-02-12,10.2214,10.97
2026-02-13,300738,add,25.8129,100,5.0,pyramid_add,2026-02-12,24.5686,31.792142857142856
2026-02-24,601872,sell,13.403295000000002,1300,13.886384585,time_stop,2026-02-13,11.864285714285714,13.669285714285714
2026-02-24,000628,buy,56.878425,100,5.0,strategy_v5_alpha_entry,2026-02-13,53.9196,62.61000000000001
2026-02-25,300738,sell,24.237875000000003,300,8.635681250000001,close_stop,2026-02-24,24.5686,31.792142857142856
2026-02-25,300739,sell,24.287850000000002,300,8.6431775,target_close_confirmed,2026-02-24,22.521428571428572,24.032857142857143
2026-02-25,000628,sell,52.663655,100,7.63318275,close_stop,2026-02-24,53.9196,62.61000000000001
2026-02-25,000021,buy,33.676829999999995,400,5.0,strategy_v5_alpha_entry,2026-02-24,31.654,39.53428571428572
2026-02-26,000683,buy,9.174584999999999,1600,5.0,strategy_v5_alpha_entry,2026-02-25,8.5162,10.392857142857144
2026-02-26,000688,buy,38.019,200,5.0,strategy_v5_alpha_entry,2026-02-25,32.6732,42.62357142857143
2026-02-26,000875,buy,7.503749999999999,2100,5.0,strategy_v5_alpha_entry,2026-02-25,7.1442,8.577142857142857
2026-02-27,000021,add,34.016999999999996,100,5.0,pyramid_add,2026-02-26,32.046,40.33642857142857
2026-02-27,000683,add,9.314655,300,5.0,pyramid_add,2026-02-26,8.8886,10.772857142857143
2026-02-27,000875,add,7.6738349999999995,700,5.0,pyramid_add,2026-02-26,7.2618,8.701428571428572
2026-03-03,000338,sell,27.616185,300,9.14242775,three_bars_no_high,2026-03-02,27.488,29.70214285714286
2026-03-04,000021,sell,30.66466,500,12.666165,close_stop,2026-03-03,32.046,40.33642857142857
2026-03-06,000591,buy,6.153075,2600,5.0,strategy_v5_alpha_entry,2026-03-05,5.8114,6.792142857142857
2026-03-06,002270,buy,36.03801,400,5.0,strategy_v5_alpha_entry,2026-03-05,34.593999999999994,42.25714285714285
2026-03-09,000683,sell,9.985005000000001,1900,14.48575475,three_bars_no_high,2026-03-06,9.197,10.772857142857143
2026-03-09,000688,sell,33.453265,200,8.3453265,time_stop,2026-03-06,32.6732,42.62357142857143
2026-03-09,002270,add,35.83791,100,5.0,pyramid_add,2026-03-06,35.083999999999996,43.11928571428571
2026-03-10,300185,buy,3.291645,4700,5.0,strategy_v5_alpha_entry,2026-03-09,3.1752000000000002,3.5678571428571426
2026-03-11,300185,add,3.371685,1600,5.0,pyramid_add,2026-03-10,3.2144,3.6535714285714285
2026-03-11,300005,buy,15.097544999999998,300,5.0,strategy_v5_alpha_entry,2026-03-10,14.5628,17.07
2026-03-12,002270,sell,36.081950000000006,500,14.020487500000002,three_bars_no_high,2026-03-11,35.498,43.11928571428571
2026-03-13,000545,buy,3.92196,4200,5.0,strategy_v5_alpha_entry,2026-03-12,3.8318,4.771428571428571
2026-03-16,000875,sell,8.07596,2800,16.959516,three_bars_no_high,2026-03-13,7.917999999999999,8.701428571428572
2026-03-16,300185,sell,4.107945000000001,6300,19.410040125000005,target_close_confirmed,2026-03-13,3.8914285714285715,3.6535714285714285
2026-03-16,300005,sell,14.492750000000001,300,7.1739125,close_stop,2026-03-13,14.5628,17.07
2026-03-17,000591,sell,6.006995,2600,12.8090935,close_stop,2026-03-16,6.141,6.792142857142857
2026-03-17,300279,buy,11.30565,1100,5.0,strategy_v5_alpha_entry,2026-03-16,10.3194,13.20857142857143
2026-03-18,600667,buy,11.705849999999998,1400,5.1638819,strategy_v5_alpha_entry,2026-03-17,10.9956,13.687857142857142
2026-03-19,000545,sell,3.8080950000000002,4200,12.996999500000001,close_stop,2026-03-18,3.8318,4.771428571428571
2026-03-20,300486,buy,26.543264999999998,600,5.0,strategy_v5_alpha_entry,2026-03-19,24.9018,30.98857142857143
2026-03-20,601991,buy,4.152075,3100,5.128714325,strategy_v5_alpha_entry,2026-03-19,4.0572,4.44
2026-03-23,600667,sell,10.09495,1400,12.207794300000002,close_stop,2026-03-20,10.9956,13.687857142857142
2026-03-24,300279,sell,9.685155,1100,10.32683525,close_stop,2026-03-23,10.3194,13.20857142857143
2026-03-24,300486,sell,22.988500000000002,600,11.896550000000001,close_stop,2026-03-23,24.9018,30.98857142857143
2026-03-24,601991,sell,4.09795,3100,11.478858950000001,close_stop,2026-03-23,4.0572,4.44
2026-03-26,000509,buy,4.5822899999999995,1700,5.0,strategy_v5_alpha_entry,2026-03-25,4.3218,5.498571428571428
2026-03-26,002980,buy,40.250114999999994,200,5.0,strategy_v5_alpha_entry,2026-03-25,37.886799999999994,49.13285714285714
2026-03-26,300231,buy,12.50625,600,5.0,strategy_v5_alpha_entry,2026-03-25,12.0736,14.414285714285713
2026-03-27,000688,buy,39.39969,100,5.0,strategy_v5_alpha_entry,2026-03-26,36.26,47.565
2026-03-27,000993,buy,16.108050000000002,400,5.0,strategy_v5_alpha_entry,2026-03-26,15.6408,18.88
2026-03-30,000509,sell,4.11794,1700,8.500249,close_stop,2026-03-27,4.3218,5.498571428571428
2026-03-30,300231,sell,11.764115,600,8.529234500000001,close_stop,2026-03-27,12.0736,14.414285714285713
2026-03-31,000993,sell,14.83258,400,7.966516,close_stop,2026-03-30,15.6408,18.88
2026-03-31,002263,buy,4.0520249999999995,3900,5.0,strategy_v5_alpha_entry,2026-03-30,3.92,4.642142857142857
2026-03-31,002428,buy,52.025999999999996,300,5.0,strategy_v5_alpha_entry,2026-03-30,49.196000000000005,63.167142857142856
2026-04-01,002428,sell,51.184395,300,12.677659250000001,close_stop,2026-03-31,49.196000000000005,63.167142857142856
2026-04-01,600015,buy,7.36368,1200,5.08836416,strategy_v5_alpha_entry,2026-03-31,7.0854,7.797857142857143
2026-04-02,000688,sell,39.220380000000006,100,6.961019,three_bars_no_high,2026-04-01,36.91285714285714,47.565
2026-04-02,003018,buy,30.715349999999997,400,5.0,strategy_v5_alpha_entry,2026-04-01,28.616000000000003,38.05
2026-04-03,002263,sell,4.577710000000001,3900,13.926534500000002,target_close_confirmed,2026-04-02,4.208571428571429,4.642142857142857
2026-04-03,002840,buy,11.525759999999998,300,5.0,strategy_v5_alpha_entry,2026-04-02,10.887799999999999,13.290714285714284
2026-04-08,002980,sell,54.972500000000004,200,10.497250000000001,target_close_confirmed,2026-04-07,43.22714285714286,49.13285714285714
2026-04-08,003018,sell,28.985500000000002,400,10.7971,close_stop,2026-04-07,28.616000000000003,38.05
2026-04-09,600015,sell,7.41629,1200,9.538769480000001,three_bars_no_high,2026-04-08,7.0854,7.797857142857143
2026-04-09,002840,add,12.846419999999998,400,5.0,pyramid_add,2026-04-08,12.200999999999999,15.214285714285715
2026-04-09,002645,buy,19.50975,800,5.0,strategy_v5_alpha_entry,2026-04-08,18.2868,22.62857142857143
