date,equity,peak,drawdown
2026-01-05,100000.000000,100000.000000,0.000000
2026-01-06,101191.900500,101191.900500,0.000000
2026-01-07,102134.604000,102134.604000,0.000000
2026-01-08,100917.507000,102134.604000,-0.011917
2026-01-09,103738.507000,103738.507000,0.000000
2026-01-12,107469.507000,107469.507000,0.000000
2026-01-13,109325.573735,109325.573735,0.000000
2026-01-14,111624.631848,111624.631848,0.000000
2026-01-15,112081.869330,112081.869330,0.000000
2026-01-16,111748.722310,112081.869330,-0.002972
2026-01-19,110877.557693,112081.869330,-0.010745
2026-01-20,112353.072937,112353.072937,0.000000
2026-01-21,115008.514663,115008.514663,0.000000
2026-01-22,114619.456627,115008.514663,-0.003383
2026-01-23,114211.069127,115008.514663,-0.006934
2026-01-26,112917.049632,115008.514663,-0.018185
2026-01-27,112869.245632,115008.514663,-0.018601
2026-01-28,112252.464828,115008.514663,-0.023964
2026-01-29,112040.996383,115008.514663,-0.025803
2026-01-30,113320.613103,115008.514663,-0.014676
2026-02-02,109243.838625,115008.514663,-0.050124
2026-02-03,110125.002635,115008.514663,-0.042462
2026-02-04,110125.002635,115008.514663,-0.042462
2026-02-05,108963.265985,115008.514663,-0.052563
2026-02-06,106884.191005,115008.514663,-0.070641
2026-02-09,107784.191005,115008.514663,-0.062816
2026-02-10,108546.191005,115008.514663,-0.056190
2026-02-11,107952.555881,115008.514663,-0.061352
2026-02-12,110350.808381,115008.514663,-0.040499
2026-02-13,108734.310183,115008.514663,-0.054554
2026-02-24,110685.864798,115008.514663,-0.037585
2026-02-25,110230.303757,115008.514663,-0.041547
2026-02-26,111094.292757,115008.514663,-0.034034
2026-02-27,111766.511757,115008.514663,-0.028189
2026-03-02,111295.511757,115008.514663,-0.032285
2026-03-03,107998.224829,115008.514663,-0.060955
2026-03-04,108557.888664,115008.514663,-0.056088
2026-03-05,109982.888664,115008.514663,-0.043698
2026-03-06,110259.689664,115008.514663,-0.041291
2026-03-09,111395.230083,115008.514663,-0.031418
2026-03-10,111894.498583,115008.514663,-0.027076
2026-03-11,112455.539083,115008.514663,-0.022198
2026-03-12,112760.493595,115008.514663,-0.019547
2026-03-13,116229.261595,116229.261595,0.000000
2026-03-16,115593.284627,116229.261595,-0.005472
2026-03-17,114869.447533,116229.261595,-0.011699
2026-03-18,114260.093651,116229.261595,-0.016942
2026-03-19,113226.095652,116229.261595,-0.025838
2026-03-20,111426.575438,116229.261595,-0.041321
2026-03-23,107286.297643,116229.261595,-0.076942
2026-03-24,108065.010899,116229.261595,-0.070243
2026-03-25,108065.010899,116229.261595,-0.070243
2026-03-26,107300.344899,116229.261595,-0.076822
2026-03-27,107519.155899,116229.261595,-0.074939
2026-03-30,107283.093416,116229.261595,-0.076970
2026-03-31,107428.461400,116229.261595,-0.075719
2026-04-01,107915.597876,116229.261595,-0.071528
2026-04-02,109003.534857,116229.261595,-0.062168
2026-04-03,108638.949323,116229.261595,-0.065305
2026-04-07,109614.949323,116229.261595,-0.056907
2026-04-08,110747.354973,116229.261595,-0.047165
2026-04-09,112560.316203,116229.261595,-0.031566
2026-04-10,112536.596203,116229.261595,-0.031771
2026-04-13,112810.596203,116229.261595,-0.029413
2026-04-14,112521.832395,116229.261595,-0.031898
2026-04-15,113392.005305,116229.261595,-0.024411
2026-04-16,114403.920529,116229.261595,-0.015705
2026-04-17,115518.981015,116229.261595,-0.006111
2026-04-20,115887.990583,116229.261595,-0.002936
2026-04-21,114233.523083,116229.261595,-0.017171
2026-04-22,117112.783268,117112.783268,0.000000
2026-04-23,115751.944327,117112.783268,-0.011620
2026-04-24,118287.322068,118287.322068,0.000000
2026-04-27,120077.602068,120077.602068,0.000000
2026-04-28,120871.339636,120871.339636,0.000000
2026-04-29,121409.208421,121409.208421,0.000000
2026-04-30,122304.543688,122304.543688,0.000000
2026-05-06,124594.298875,124594.298875,0.000000
2026-05-07,124094.535788,124594.298875,-0.004011
2026-05-08,123489.829622,124594.298875,-0.008865
2026-05-11,123327.614052,124594.298875,-0.010166
2026-05-12,122380.765552,124594.298875,-0.017766
