date,equity
2026-01-05,100000.000000
2026-01-06,101191.900500
2026-01-07,102134.604000
2026-01-08,100917.507000
2026-01-09,103738.507000
2026-01-12,107469.507000
2026-01-13,109325.573735
2026-01-14,111624.631848
2026-01-15,112081.869330
2026-01-16,111748.722310
2026-01-19,110877.557693
2026-01-20,112353.072937
2026-01-21,115008.514663
2026-01-22,114619.456627
2026-01-23,114211.069127
2026-01-26,112917.049632
2026-01-27,112869.245632
2026-01-28,112252.464828
2026-01-29,112040.996383
2026-01-30,113320.613103
2026-02-02,109243.838625
2026-02-03,110125.002635
2026-02-04,110125.002635
2026-02-05,108963.265985
2026-02-06,106884.191005
2026-02-09,107784.191005
2026-02-10,108546.191005
2026-02-11,107952.555881
2026-02-12,110350.808381
2026-02-13,108734.310183
2026-02-24,110685.864798
2026-02-25,110230.303757
2026-02-26,111094.292757
2026-02-27,111766.511757
2026-03-02,111295.511757
2026-03-03,107998.224829
2026-03-04,108557.888664
2026-03-05,109982.888664
2026-03-06,110259.689664
2026-03-09,111395.230083
2026-03-10,111894.498583
2026-03-11,112455.539083
2026-03-12,112760.493595
2026-03-13,116229.261595
2026-03-16,115593.284627
2026-03-17,114869.447533
2026-03-18,114260.093651
2026-03-19,113226.095652
2026-03-20,111426.575438
2026-03-23,107286.297643
2026-03-24,108065.010899
2026-03-25,108065.010899
2026-03-26,107300.344899
2026-03-27,107519.155899
2026-03-30,107283.093416
2026-03-31,107428.461400
2026-04-01,107915.597876
2026-04-02,109003.534857
2026-04-03,108638.949323
2026-04-07,109614.949323
2026-04-08,110747.354973
2026-04-09,112560.316203
2026-04-10,112536.596203
2026-04-13,112810.596203
2026-04-14,112521.832395
2026-04-15,113392.005305
2026-04-16,114403.920529
2026-04-17,115518.981015
2026-04-20,115887.990583
2026-04-21,114233.523083
2026-04-22,117112.783268
2026-04-23,115751.944327
2026-04-24,118287.322068
2026-04-27,120077.602068
2026-04-28,120871.339636
2026-04-29,121409.208421
2026-04-30,122304.543688
2026-05-06,124594.298875
2026-05-07,124094.535788
2026-05-08,123489.829622
2026-05-11,123327.614052
2026-05-12,122380.765552
2026-05-13,123519.841127
2026-05-14,121548.661627
2026-05-15,119434.661627
2026-05-18,120603.320132
2026-05-19,121163.211912
2026-05-20,119047.161044
2026-05-21,116378.837376
2026-05-22,117134.737448
2026-05-25,117128.406532
2026-05-26,116707.627532
2026-05-27,116079.066532
2026-05-28,116434.138515
2026-05-29,114270.436191
2026-06-01,113678.133018
2026-06-02,113655.743366
2026-06-03,114662.551045
2026-06-04,116093.113545
2026-06-05,116807.113545
2026-06-08,115984.340136
2026-06-09,116868.521791
2026-06-10,119413.487291
2026-06-11,120683.584770
2026-06-12,118722.697941
2026-06-15,120330.963420
2026-06-16,120760.764470
2026-06-17,121527.422470
2026-06-18,123214.760470
2026-06-22,123044.455047
2026-06-23,120633.660047
2026-06-24,120817.967971
2026-06-25,121418.668797
2026-06-26,121688.551705
2026-06-29,121521.948271
2026-06-30,126439.608271
2026-07-01,128215.146138
2026-07-02,126574.636138
2026-07-03,122780.636138
2026-07-06,120979.775105
2026-07-07,120933.927318
2026-07-08,120809.927318
2026-07-09,120623.920070
