code,entry_date,exit_date,net_pnl,exit_reason,signal_date,rank,ranking_score,entry_score,relative_strength_score,reasons
002379,2026-01-06,2026-01-13,1454.318571,target_close_confirmed,2026-01-05,881,78.244375,60.000000,20.000000,MA20>MA60|MA60>MA120|close>MA20|rs20=8.85|rs60=43.71|up_volume_confirm|mid_atr|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
002446,2026-01-06,2026-01-13,3878.976164,target_close_confirmed,2026-01-05,944,88.244375,60.000000,20.000000,MA20>MA60|MA60>MA120|close>MA20|rs20=19.18|rs60=24.33|up_volume_confirm|volume_not_exhausted|pullback_volume_control|mid_atr|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
000426,2026-01-07,2026-01-15,3618.565559,target_close_confirmed,2026-01-06,85,88.564397,60.000000,20.000000,MA20>MA60|MA60>MA120|close>MA20|rs20=9.06|rs60=7.23|up_volume_confirm|volume_not_exhausted|pullback_volume_control|mid_atr|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
000603,2026-01-07,2026-01-15,1847.688542,target_close_confirmed,2026-01-06,167,81.564397,60.000000,20.000000,MA20>MA60|MA60>MA120|close>MA20|rs20=18.28|rs60=20.86|up_volume_confirm|volume_not_exhausted|pullback_volume_control|high_atr|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
601100,2026-01-14,2026-01-15,-703.517938,close_stop,2026-01-13,3715,87.682149,60.000000,20.000000,MA20>MA60|MA60>MA120|close>MA20|rs20=5.08|rs60=29.27|up_volume_confirm|volume_not_exhausted|pullback_volume_control|mid_atr|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
600650,2026-01-16,2026-01-19,-743.370113,close_stop,2026-01-15,3408,75.000000,60.000000,20.000000,MA20>MA60|close>MA20|rs20=1.49|rs60=4.90|up_volume_confirm|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
000933,2026-01-06,2026-01-20,1286.701494,target_close_confirmed,2026-01-05,378,91.244375,60.000000,20.000000,MA20>MA60|MA60>MA120|close>MA20|rs20=6.58|rs60=34.05|up_volume_confirm|volume_not_exhausted|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
002281,2026-01-16,2026-01-20,-534.185178,close_stop,2026-01-15,788,87.838491,60.000000,20.000000,MA20>MA60|MA60>MA120|close>MA20|rs20=20.26|rs60=24.69|up_volume_confirm|volume_not_exhausted|pullback_volume_control|mid_atr|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
601212,2026-01-14,2026-01-22,3927.608873,target_close_confirmed,2026-01-13,3752,82.682149,60.000000,10.000000,MA20>MA60|MA60>MA120|close>MA20|trend_persistence|rs20=24.00|up_volume_confirm|volume_not_exhausted|pullback_volume_control|mid_atr|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
300731,2026-01-23,2026-01-26,-374.207495,close_stop,2026-01-22,2219,80.000000,60.000000,20.000000,MA20>MA60|MA60>MA120|close>MA20|rs20=14.11|rs60=45.15|up_volume_confirm|volume_not_exhausted|pullback_volume_control|high_atr|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
002560,2026-01-19,2026-01-28,-12.626229,time_stop,2026-01-16,1046,78.144672,60.000000,20.000000,MA20>MA60|MA60>MA120|close>MA20|rs20=15.80|rs60=30.18|up_volume_confirm|mid_atr|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
002080,2026-01-23,2026-01-28,-726.896575,three_bars_no_high,2026-01-22,597,87.000000,60.000000,20.000000,MA20>MA60|MA60>MA120|close>MA20|rs20=6.29|rs60=18.43|up_volume_confirm|volume_not_exhausted|pullback_volume_control|mid_atr|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
688291,2026-01-20,2026-01-29,-880.716135,time_stop,2026-01-19,4869,76.002703,60.000000,20.000000,MA20>MA60|MA60>MA120|close>MA20|rs20=29.47|rs60=56.50|up_volume_confirm|volume_not_exhausted|pullback_volume_control|high_atr|extended_from_ma20|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
300242,2026-01-27,2026-01-29,-1163.274881,close_stop,2026-01-26,1755,75.800000,60.000000,20.000000,MA20>MA60|MA60>MA120|close>MA20|rs20=28.83|rs60=48.18|up_volume_confirm|volume_not_exhausted|pullback_volume_control|high_atr|extended_from_ma20|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
300244,2026-01-29,2026-01-30,435.917720,close_stop,2026-01-28,1757,70.000000,80.000000,20.000000,MA20>MA60|MA60>MA120|close>MA20|trend_persistence|rs20=54.70|rs60=45.47|pullback_volume_control|high_atr|trend_ma20_gt_ma60|near_ma20|pullback_reclaimed_ma20|volume_confirmed|rsi_entry_zone
300863,2026-01-30,2026-02-02,1048.406023,target_close_confirmed,2026-01-29,2344,72.000000,70.000000,20.000000,MA20>MA60|MA60>MA120|close>MA20|rs20=4.76|rs60=9.30|pullback_volume_control|mid_atr|trend_ma20_gt_ma60|near_ma20|pullback_reclaimed_ma20|rsi_entry_zone
600486,2026-01-21,2026-02-03,-78.476247,close_stop,2026-01-20,3270,85.000000,60.000000,20.000000,MA20>MA60|close>MA20|rs20=2.93|rs60=12.37|up_volume_confirm|volume_not_exhausted|pullback_volume_control|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
300708,2026-01-29,2026-02-03,-562.379980,close_stop,2026-01-28,2198,72.000000,60.000000,20.000000,MA20>MA60|close>MA20|rs20=17.47|rs60=14.36|up_volume_confirm|volume_not_exhausted|mid_atr|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
000560,2026-02-02,2026-02-03,-234.695900,close_stop,2026-01-30,138,77.000000,60.000000,20.000000,MA20>MA60|MA60>MA120|close>MA20|rs20=12.73|rs60=14.26|up_volume_confirm|mid_atr|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
000863,2026-02-02,2026-02-03,-1358.833637,close_stop,2026-01-30,328,77.000000,60.000000,20.000000,MA20>MA60|MA60>MA120|close>MA20|rs20=6.05|rs60=62.75|up_volume_confirm|mid_atr|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
000962,2026-02-05,2026-02-06,-1264.965941,close_stop,2026-02-04,394,75.000000,60.000000,20.000000,MA20>MA60|MA60>MA120|close>MA20|rs20=29.19|rs60=60.17|up_volume_confirm|volume_not_exhausted|pullback_volume_control|high_atr|extended_from_ma20|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
002922,2026-02-05,2026-02-06,-1381.444038,close_stop,2026-02-04,1376,80.000000,60.000000,20.000000,MA20>MA60|MA60>MA120|close>MA20|rs20=25.61|rs60=39.85|up_volume_confirm|volume_not_exhausted|pullback_volume_control|high_atr|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
000738,2026-02-05,2026-02-11,331.563104,three_bars_no_high,2026-02-04,256,70.000000,60.000000,20.000000,MA20>MA60|MA60>MA120|close>MA20|rs20=25.82|rs60=44.47|up_volume_confirm|high_atr|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
600763,2026-02-05,2026-02-11,12.842199,three_bars_no_high,2026-02-04,3504,75.000000,60.000000,20.000000,MA20>MA60|close>MA20|rs20=20.70|rs60=9.65|volume_not_exhausted|pullback_volume_control|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
002041,2026-02-11,2026-02-13,-90.848197,ma20_break,2026-02-10,560,72.000000,70.000000,20.000000,MA20>MA60|MA60>MA120|close>MA20|rs20=8.17|rs60=6.21|pullback_volume_control|mid_atr|trend_ma20_gt_ma60|near_ma20|pullback_reclaimed_ma20|rsi_entry_zone
601872,2026-02-05,2026-02-24,1797.441037,time_stop,2026-02-04,3860,92.000000,60.000000,20.000000,MA20>MA60|MA60>MA120|close>MA20|trend_persistence|rs20=34.82|rs60=40.77|up_volume_confirm|volume_not_exhausted|pullback_volume_control|mid_atr|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
300738,2026-02-12,2026-02-25,-487.141181,close_stop,2026-02-11,2225,70.000000,60.000000,20.000000,MA20>MA60|close>MA20|rs20=4.45|rs60=28.67|up_volume_confirm|volume_not_exhausted|pullback_volume_control|high_atr|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
300739,2026-02-12,2026-02-25,930.542323,target_close_confirmed,2026-02-11,2226,92.000000,60.000000,20.000000,MA20>MA60|MA60>MA120|close>MA20|trend_persistence|rs20=13.94|rs60=27.26|up_volume_confirm|volume_not_exhausted|pullback_volume_control|mid_atr|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
000628,2026-02-24,2026-02-25,-434.110183,close_stop,2026-02-13,183,75.000000,60.000000,20.000000,MA20>MA60|close>MA20|rs20=12.60|rs60=24.21|up_volume_confirm|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
000338,2026-02-11,2026-03-03,574.867072,three_bars_no_high,2026-02-10,66,82.000000,60.000000,20.000000,MA20>MA60|MA60>MA120|close>MA20|trend_persistence|rs20=37.03|rs60=49.95|volume_not_exhausted|pullback_volume_control|mid_atr|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
000021,2026-02-25,2026-03-04,-1562.768165,close_stop,2026-02-24,16,77.349376,60.000000,20.000000,MA20>MA60|MA60>MA120|close>MA20|rs20=8.32|rs60=39.97|up_volume_confirm|mid_atr|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
000683,2026-02-26,2026-03-09,1473.291245,three_bars_no_high,2026-02-25,215,82.952679,80.000000,20.000000,MA20>MA60|MA60>MA120|close>MA20|trend_persistence|rs20=5.11|rs60=21.63|up_volume_confirm|mid_atr|trend_ma20_gt_ma60|pullback_reclaimed_ma20|price_recovered|volume_confirmed|rsi_entry_zone
000688,2026-02-26,2026-03-09,-926.492326,time_stop,2026-02-25,218,76.338095,60.000000,20.000000,MA20>MA60|MA60>MA120|close>MA20|rs20=40.77|rs60=27.87|up_volume_confirm|volume_not_exhausted|pullback_volume_control|high_atr|extended_from_ma20|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
002270,2026-03-06,2026-03-12,17.959513,three_bars_no_high,2026-03-05,778,77.105197,60.000000,20.000000,MA20>MA60|MA60>MA120|close>MA20|rs20=20.31|rs60=46.43|volume_not_exhausted|pullback_volume_control|mid_atr|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
000875,2026-02-26,2026-03-16,1456.168984,three_bars_no_high,2026-02-25,331,87.362326,60.000000,20.000000,MA20>MA60|MA60>MA120|close>MA20|rs20=13.26|rs60=30.21|up_volume_confirm|volume_not_exhausted|pullback_volume_control|mid_atr|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
300185,2026-03-10,2026-03-16,4985.215960,target_close_confirmed,2026-03-09,1701,85.000000,60.000000,20.000000,MA20>MA60|close>MA20|rs20=12.30|rs60=12.72|up_volume_confirm|volume_not_exhausted|pullback_volume_control|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
300005,2026-03-11,2026-03-16,-193.612412,close_stop,2026-03-10,1532,77.805067,60.000000,20.000000,MA20>MA60|MA60>MA120|close>MA20|rs20=7.87|rs60=49.44|volume_not_exhausted|pullback_volume_control|mid_atr|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
