candidate_id,date,code,name,industry,market_regime,eligible,market_ok,alpha_pass,entry_pass,regime_pass,sector_data_status,four_no_pass,stop_valid,rr_pass,position_neutral_sizing_feasible,alpha_total,sector_bonus,ranking_score,trend_score,relative_strength_score,volume_quality_score,risk_score,sector_heat_score,entry_score,hard_pass,rank,selected,reason_code,order_intent_id,pending_order_id,requested_shares,shares,signal_close,planned_stop,planned_target,ex_ante_rr,initial_risk_cash,stop,target,rr,reason_codes,reasons
cand_ce317c6ee7bc3126,2026-01-05,002985,北摩高科,制造业,BULL,1,1,1,1,1,mapped,1,1,1,1,95.000000,1.244375,96.244375,35.000000,20.000000,20.000000,20.000000,90.739583,60.000000,1,1,1,ok,intent_bec463ec5e3e2485,pend_30a828fe427b235b,400,400,32.370000,30.899400,36.201429,2.605351,588.240000,30.899400,36.201429,2.605351,ok,MA20>MA60|MA60>MA120|close>MA20|rs20=13.65|rs60=9.15|up_volume_confirm|volume_not_exhausted|pullback_volume_control|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
cand_bae279a13562ebe9,2026-01-05,600219,南山铝业,制造业,BULL,1,1,1,1,1,mapped,1,1,1,1,95.000000,1.244375,96.244375,35.000000,20.000000,20.000000,20.000000,90.739583,60.000000,1,2,1,ok,intent_30242dacd1b63401,pend_fd49f9a63cf0c03b,2700,2700,5.500000,5.311600,6.040000,2.866242,508.680000,5.311600,6.040000,2.866242,ok,MA20>MA60|MA60>MA120|close>MA20|rs20=8.25|rs60=33.97|up_volume_confirm|volume_not_exhausted|pullback_volume_control|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
cand_3886998a0f3c29d6,2026-01-05,603306,华懋科技,制造业,BULL,1,1,1,1,1,mapped,1,1,1,1,92.000000,1.244375,93.244375,40.000000,20.000000,20.000000,12.000000,90.739583,60.000000,1,3,1,ok,intent_b86d79e9dd9fbb27,pend_82a255c5b014f708,100,100,65.780000,62.524000,74.878571,2.794402,651.200000,62.524000,74.878571,2.794402,ok,MA20>MA60|MA60>MA120|close>MA20|trend_persistence|rs20=35.95|rs60=25.48|up_volume_confirm|volume_not_exhausted|pullback_volume_control|mid_atr|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
cand_9eeec22227227f43,2026-01-05,000933,神火股份,制造业,BULL,1,1,1,1,1,mapped,1,1,1,1,90.000000,1.244375,91.244375,35.000000,20.000000,15.000000,20.000000,90.739583,60.000000,1,4,1,ok,intent_36ddd8c674426ba4,pend_7a2271da68bea487,100,100,28.470000,27.694800,31.523571,3.939076,387.600000,27.694800,31.523571,3.939076,ok,MA20>MA60|MA60>MA120|close>MA20|rs20=6.58|rs60=34.05|up_volume_confirm|volume_not_exhausted|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
cand_ff067ca99be3ba78,2026-01-05,002446,盛路通信,制造业,BULL,1,1,1,1,1,mapped,1,1,1,1,87.000000,1.244375,88.244375,35.000000,20.000000,20.000000,12.000000,90.739583,60.000000,1,5,1,ok,intent_70209a6ae577fbac,pend_ac406a76af91b4f1,200,200,10.770000,10.290000,12.602143,3.816964,624.000000,10.290000,12.602143,3.816964,ok,MA20>MA60|MA60>MA120|close>MA20|rs20=19.18|rs60=24.33|up_volume_confirm|volume_not_exhausted|pullback_volume_control|mid_atr|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
cand_0c7fcb81ba43826b,2026-01-05,002379,宏桥控股,制造业,BULL,1,1,1,1,1,mapped,1,1,1,1,77.000000,1.244375,78.244375,35.000000,20.000000,10.000000,12.000000,90.739583,60.000000,1,6,0,capacity,,,500,0,25.180000,24.166800,28.340714,3.119536,506.600000,,,,ok,MA20>MA60|MA60>MA120|close>MA20|rs20=8.85|rs60=43.71|up_volume_confirm|mid_atr|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
cand_2189618e67821dcd,2026-01-05,300337,银邦股份,制造业,BULL,1,1,1,1,1,mapped,1,1,1,1,75.000000,1.244375,76.244375,35.000000,20.000000,20.000000,0.000000,90.739583,60.000000,1,7,0,capacity,,,900,0,16.200000,15.405600,20.020714,4.809560,714.960000,,,,ok,MA20>MA60|MA60>MA120|close>MA20|rs20=45.41|rs60=56.65|up_volume_confirm|volume_not_exhausted|pullback_volume_control|high_atr|extended_from_ma20|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
cand_37dbf98fd590c351,2026-01-06,688439,振华风光,制造业,BULL,1,1,1,1,1,mapped,1,1,1,1,95.000000,1.191122,96.191122,35.000000,20.000000,20.000000,20.000000,89.852041,60.000000,1,1,0,capacity,,,200,0,66.200000,62.729800,73.404286,2.076043,694.040000,,,,ok,MA20>MA60|MA60>MA120|close>MA20|rs20=5.25|rs60=9.36|up_volume_confirm|volume_not_exhausted|pullback_volume_control|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
cand_93f34050f31dd0aa,2026-01-06,000426,兴业银锡,采矿业,BULL,1,1,1,1,1,mapped,1,1,1,1,87.000000,1.564397,88.564397,35.000000,20.000000,20.000000,12.000000,96.073275,60.000000,1,2,0,capacity,,,300,0,40.290000,38.122000,46.675714,2.945440,650.400000,,,,ok,MA20>MA60|MA60>MA120|close>MA20|rs20=9.06|rs60=7.23|up_volume_confirm|volume_not_exhausted|pullback_volume_control|mid_atr|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
cand_fa93028b39710d3d,2026-01-06,300054,鼎龙股份,制造业,BULL,1,1,1,1,1,mapped,1,1,1,1,85.000000,1.191122,86.191122,35.000000,20.000000,10.000000,20.000000,89.852041,80.000000,1,3,0,capacity,,,300,0,40.290000,38.033800,44.989286,2.082832,676.860000,,,,ok,MA20>MA60|MA60>MA120|close>MA20|rs20=10.22|rs60=6.56|up_volume_confirm|trend_ma20_gt_ma60|pullback_reclaimed_ma20|price_recovered|volume_confirmed|rsi_entry_zone
cand_c7204356e6b34065,2026-01-06,300170,汉得信息,信息传输、软件和信息技术服务业,BULL,1,1,1,1,1,mapped,1,1,1,1,85.000000,1.132509,86.132509,25.000000,20.000000,20.000000,20.000000,88.875144,60.000000,1,4,0,capacity,,,700,0,20.600000,19.560800,23.019286,2.328027,727.440000,,,,ok,MA20>MA60|close>MA20|rs20=11.17|rs60=8.93|up_volume_confirm|volume_not_exhausted|pullback_volume_control|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
cand_e95f08f448f56efe,2026-01-06,000603,盛达资源,采矿业,BULL,1,1,1,1,1,mapped,1,1,1,1,80.000000,1.564397,81.564397,35.000000,20.000000,20.000000,5.000000,96.073275,60.000000,1,5,0,capacity,,,400,0,33.960000,31.791200,40.287857,2.917677,867.520000,,,,ok,MA20>MA60|MA60>MA120|close>MA20|rs20=18.28|rs60=20.86|up_volume_confirm|volume_not_exhausted|pullback_volume_control|high_atr|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
cand_ce512e08393c2cf3,2026-01-06,301517,陕西华达,制造业,BULL,1,1,1,1,1,mapped,1,1,1,1,80.000000,1.191122,81.191122,35.000000,20.000000,20.000000,5.000000,89.852041,60.000000,1,6,0,capacity,,,100,0,73.000000,66.218600,90.404286,2.566474,678.140000,,,,ok,MA20>MA60|MA60>MA120|close>MA20|rs20=34.29|rs60=71.17|up_volume_confirm|volume_not_exhausted|pullback_volume_control|high_atr|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
cand_a7eba6256a8550ea,2026-01-06,002759,天际股份,制造业,BULL,1,1,1,1,1,mapped,1,1,1,1,75.000000,1.191122,76.191122,35.000000,20.000000,20.000000,0.000000,89.852041,60.000000,1,7,0,capacity,,,200,0,51.250000,49.000000,63.580000,5.480000,450.000000,,,,ok,MA20>MA60|MA60>MA120|close>MA20|rs20=37.00|rs60=142.27|up_volume_confirm|volume_not_exhausted|pullback_volume_control|high_atr|extended_from_ma20|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
cand_af709d9e832eb928,2026-01-06,600135,乐凯胶片,制造业,BULL,1,1,1,1,1,mapped,1,1,1,1,70.000000,1.191122,71.191122,35.000000,20.000000,10.000000,5.000000,89.852041,60.000000,1,8,0,capacity,,,1000,0,10.510000,9.564800,12.528571,2.135602,945.200000,,,,ok,MA20>MA60|MA60>MA120|close>MA20|rs20=23.21|rs60=41.60|up_volume_confirm|high_atr|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
cand_f117f1f367c03cc9,2026-01-07,000683,博源化工,制造业,BULL,1,1,1,1,1,mapped,1,1,1,1,95.000000,1.203618,96.203618,35.000000,20.000000,20.000000,20.000000,90.060302,60.000000,1,1,0,capacity,,,1900,0,7.860000,7.448000,8.753571,2.168863,782.800000,,,,ok,MA20>MA60|MA60>MA120|close>MA20|rs20=6.89|rs60=20.59|up_volume_confirm|volume_not_exhausted|pullback_volume_control|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
