date,equity,peak,drawdown
2026-01-05,100000.000000,100000.000000,0.000000
2026-01-06,100338.055262,100338.055262,0.000000
2026-01-07,101165.055262,101165.055262,0.000000
2026-01-08,101258.055262,101258.055262,0.000000
2026-01-09,101776.623187,101776.623187,0.000000
2026-01-12,102336.925260,102336.925260,0.000000
2026-01-13,101865.419137,102336.925260,-0.004607
2026-01-14,101605.894283,102336.925260,-0.007143
2026-01-15,101271.314270,102336.925260,-0.010413
2026-01-16,101254.699491,102336.925260,-0.010575
2026-01-19,100375.250994,102336.925260,-0.019169
2026-01-20,101641.659379,102336.925260,-0.006794
2026-01-21,103500.659379,103500.659379,0.000000
2026-01-22,102097.576256,103500.659379,-0.013556
2026-01-23,102132.443256,103500.659379,-0.013219
2026-01-26,102302.656256,103500.659379,-0.011575
2026-01-27,101890.231921,103500.659379,-0.015560
2026-01-28,101610.433871,103500.659379,-0.018263
2026-01-29,100377.795317,103500.659379,-0.030172
2026-01-30,101372.288317,103500.659379,-0.020564
2026-02-02,100397.836720,103500.659379,-0.029979
2026-02-03,100383.324987,103500.659379,-0.030119
2026-02-04,102259.398968,103500.659379,-0.011993
2026-02-05,102494.999424,103500.659379,-0.009716
2026-02-06,101948.353989,103500.659379,-0.014998
2026-02-09,101820.353989,103500.659379,-0.016235
2026-02-10,102328.886208,103500.659379,-0.011321
2026-02-11,105653.709663,105653.709663,0.000000
2026-02-12,107822.031222,107822.031222,0.000000
2026-02-13,107997.484763,107997.484763,0.000000
2026-02-24,108864.484763,108864.484763,0.000000
2026-02-25,109111.709959,109111.709959,0.000000
2026-02-26,111163.890292,111163.890292,0.000000
2026-02-27,111978.205792,111978.205792,0.000000
2026-03-02,110850.205792,111978.205792,-0.010073
2026-03-03,106589.205792,111978.205792,-0.048125
2026-03-04,106840.824085,111978.205792,-0.045878
2026-03-05,107773.105384,111978.205792,-0.037553
2026-03-06,108314.638341,111978.205792,-0.032717
2026-03-09,109323.638341,111978.205792,-0.023706
2026-03-10,109144.638341,111978.205792,-0.025305
2026-03-11,109485.848789,111978.205792,-0.022258
2026-03-12,109326.984899,111978.205792,-0.023676
2026-03-13,108891.811240,111978.205792,-0.027562
2026-03-16,107452.539724,111978.205792,-0.040416
2026-03-17,106956.057485,111978.205792,-0.044849
2026-03-18,107124.830216,111978.205792,-0.043342
2026-03-19,106115.830216,111978.205792,-0.052353
2026-03-20,105168.210741,111978.205792,-0.060815
2026-03-23,102685.342734,111978.205792,-0.082988
2026-03-24,102914.751321,111978.205792,-0.080939
2026-03-25,102590.751321,111978.205792,-0.083833
2026-03-26,101441.513821,111978.205792,-0.094096
2026-03-27,101034.012473,111978.205792,-0.097735
2026-03-30,101504.203676,111978.205792,-0.093536
2026-03-31,100469.328178,111978.205792,-0.102778
2026-04-01,101366.313432,111978.205792,-0.094767
2026-04-02,99894.153378,111978.205792,-0.107914
2026-04-03,102324.626297,111978.205792,-0.086209
2026-04-07,104307.626297,111978.205792,-0.068501
2026-04-08,105827.130422,111978.205792,-0.054931
2026-04-09,105644.583016,111978.205792,-0.056561
2026-04-10,104643.857789,111978.205792,-0.065498
2026-04-13,104907.252691,111978.205792,-0.063146
2026-04-14,105032.815489,111978.205792,-0.062024
2026-04-15,104681.610040,111978.205792,-0.065161
2026-04-16,104643.294121,111978.205792,-0.065503
2026-04-17,105376.136121,111978.205792,-0.058959
2026-04-20,106614.033397,111978.205792,-0.047904
2026-04-21,105146.405897,111978.205792,-0.061010
2026-04-22,106661.405897,111978.205792,-0.047481
2026-04-23,104630.310858,111978.205792,-0.065619
2026-04-24,105316.603069,111978.205792,-0.059490
2026-04-27,105028.603069,111978.205792,-0.062062
2026-04-28,105064.402616,111978.205792,-0.061742
2026-04-29,107231.402616,111978.205792,-0.042390
2026-04-30,107777.566179,111978.205792,-0.037513
2026-05-06,109251.826903,111978.205792,-0.024347
2026-05-07,108154.462494,111978.205792,-0.034147
2026-05-08,106746.198948,111978.205792,-0.046723
2026-05-11,107191.617345,111978.205792,-0.042746
2026-05-12,107139.565654,111978.205792,-0.043211
2026-05-13,108385.607077,111978.205792,-0.032083
2026-05-14,105486.425635,111978.205792,-0.057974
2026-05-15,105771.425635,111978.205792,-0.055428
2026-05-18,106329.068725,111978.205792,-0.050449
2026-05-19,106921.505871,111978.205792,-0.045158
2026-05-20,105290.012393,111978.205792,-0.059728
2026-05-21,101738.939917,111978.205792,-0.091440
2026-05-22,102479.743949,111978.205792,-0.084824
2026-05-25,102473.590489,111978.205792,-0.084879
2026-05-26,102652.082489,111978.205792,-0.083285
2026-05-27,101805.894489,111978.205792,-0.090842
2026-05-28,102382.241903,111978.205792,-0.085695
2026-05-29,101971.826008,111978.205792,-0.089360
2026-06-01,102281.169696,111978.205792,-0.086598
