date,equity
2026-01-05,100000.000000
2026-01-06,100338.055262
2026-01-07,101165.055262
2026-01-08,101258.055262
2026-01-09,101776.623187
2026-01-12,102336.925260
2026-01-13,101865.419137
2026-01-14,101605.894283
2026-01-15,101271.314270
2026-01-16,101254.699491
2026-01-19,100375.250994
2026-01-20,101641.659379
2026-01-21,103500.659379
2026-01-22,102097.576256
2026-01-23,102132.443256
2026-01-26,102302.656256
2026-01-27,101890.231921
2026-01-28,101610.433871
2026-01-29,100377.795317
2026-01-30,101372.288317
2026-02-02,100397.836720
2026-02-03,100383.324987
2026-02-04,102259.398968
2026-02-05,102494.999424
2026-02-06,101948.353989
2026-02-09,101820.353989
2026-02-10,102328.886208
2026-02-11,105653.709663
2026-02-12,107822.031222
2026-02-13,107997.484763
2026-02-24,108864.484763
2026-02-25,109111.709959
2026-02-26,111163.890292
2026-02-27,111978.205792
2026-03-02,110850.205792
2026-03-03,106589.205792
2026-03-04,106840.824085
2026-03-05,107773.105384
2026-03-06,108314.638341
2026-03-09,109323.638341
2026-03-10,109144.638341
2026-03-11,109485.848789
2026-03-12,109326.984899
2026-03-13,108891.811240
2026-03-16,107452.539724
2026-03-17,106956.057485
2026-03-18,107124.830216
2026-03-19,106115.830216
2026-03-20,105168.210741
2026-03-23,102685.342734
2026-03-24,102914.751321
2026-03-25,102590.751321
2026-03-26,101441.513821
2026-03-27,101034.012473
2026-03-30,101504.203676
2026-03-31,100469.328178
2026-04-01,101366.313432
2026-04-02,99894.153378
2026-04-03,102324.626297
2026-04-07,104307.626297
2026-04-08,105827.130422
2026-04-09,105644.583016
2026-04-10,104643.857789
2026-04-13,104907.252691
2026-04-14,105032.815489
2026-04-15,104681.610040
2026-04-16,104643.294121
2026-04-17,105376.136121
2026-04-20,106614.033397
2026-04-21,105146.405897
2026-04-22,106661.405897
2026-04-23,104630.310858
2026-04-24,105316.603069
2026-04-27,105028.603069
2026-04-28,105064.402616
2026-04-29,107231.402616
2026-04-30,107777.566179
2026-05-06,109251.826903
2026-05-07,108154.462494
2026-05-08,106746.198948
2026-05-11,107191.617345
2026-05-12,107139.565654
2026-05-13,108385.607077
2026-05-14,105486.425635
2026-05-15,105771.425635
2026-05-18,106329.068725
2026-05-19,106921.505871
2026-05-20,105290.012393
2026-05-21,101738.939917
2026-05-22,102479.743949
2026-05-25,102473.590489
2026-05-26,102652.082489
2026-05-27,101805.894489
2026-05-28,102382.241903
2026-05-29,101971.826008
2026-06-01,102281.169696
2026-06-02,101968.377824
2026-06-03,104113.404378
2026-06-04,104531.635683
2026-06-05,104432.426971
2026-06-08,104560.449466
2026-06-09,103878.773536
2026-06-10,105157.148036
2026-06-11,104654.148036
2026-06-12,103529.148036
2026-06-15,104817.637926
2026-06-16,104445.265540
2026-06-17,106017.550540
2026-06-18,106753.550540
2026-06-22,106134.261990
2026-06-23,104704.437990
2026-06-24,104029.694426
2026-06-25,104417.827145
2026-06-26,103913.465017
2026-06-29,102228.670583
2026-06-30,103329.698577
2026-07-01,102410.528870
2026-07-02,104379.111167
2026-07-03,101675.013667
2026-07-06,100789.465395
2026-07-07,101704.753411
2026-07-08,101084.753411
2026-07-09,100174.717171
