date,code,side,price,shares,fee,reason,signal_date,stop,target,fill_id,candidate_id,order_intent_id,pending_order_id,requested_shares,allowed_at_open_shares,signal_close,next_open,opening_gap
2026-01-06,002985,buy,32.11605,400,5.0,strategy_v5_alpha_ranked_entry,2026-01-05,30.8994,36.20142857142857,fill_eaae38601ea1bcbd,cand_ce317c6ee7bc3126,intent_bec463ec5e3e2485,pend_30a828fe427b235b,400,400,32.37,32.1,-0.00784522706209445
2026-01-06,600219,buy,5.552775,2700,5.149924925,strategy_v5_alpha_ranked_entry,2026-01-05,5.311599999999999,6.04,fill_3c642eea09e515a7,cand_bae279a13562ebe9,intent_30242dacd1b63401,pend_fd49f9a63cf0c03b,2700,2700,5.5,5.55,0.009595454545454407
2026-01-06,603306,buy,65.81289,100,5.06581289,strategy_v5_alpha_ranked_entry,2026-01-05,62.523999999999994,74.87857142857143,fill_9fbc885460125d10,cand_3886998a0f3c29d6,intent_b86d79e9dd9fbb27,pend_82a255c5b014f708,100,100,65.78,65.78,0.0004999999999999449
2026-01-06,000933,buy,29.324654999999996,100,5.0,strategy_v5_alpha_ranked_entry,2026-01-05,27.6948,31.523571428571426,fill_b7b78b7ac9524f2a,cand_9eeec22227227f43,intent_36ddd8c674426ba4,pend_7a2271da68bea487,100,100,28.47,29.31,0.030019494204425623
2026-01-06,002446,buy,10.625309999999999,200,5.0,strategy_v5_alpha_ranked_entry,2026-01-05,10.29,12.602142857142857,fill_8b771b2157f6ba60,cand_ff067ca99be3ba78,intent_70209a6ae577fbac,pend_ac406a76af91b4f1,200,200,10.77,10.62,-0.01343454038997216
2026-01-09,603306,sell,63.668150000000004,100,8.247075650000001,three_bars_no_high,2026-01-08,62.523999999999994,74.87857142857143,fill_63f83ed85eec76ef,cand_3886998a0f3c29d6,intent_b86d79e9dd9fbb27,pend_4a7a32e0f8ef5ece,100,100,65.78,63.7,-0.009177165966713363
2026-01-12,600320,buy,5.292644999999999,1000,5.05292645,strategy_v5_alpha_ranked_entry,2026-01-09,5.0568,5.795,fill_28f689f270286a15,cand_5e5f3cc8567452b2,intent_044d1ac59db2e27c,pend_7223cdbeac4c088f,1000,1000,5.3,5.29,-0.0013877358490567149
2026-01-13,600219,sell,5.7671149999999995,2700,12.941317354999999,three_bars_no_high,2026-01-12,5.483,6.04,fill_4b7853ee54506c4e,cand_bae279a13562ebe9,intent_30242dacd1b63401,pend_f13c9e56fe49430a,2700,2700,5.5,5.77,0.0017361111111111605
2026-01-13,002446,sell,13.873060000000002,200,6.387306000000001,target_close_confirmed,2026-01-12,11.988571428571428,12.602142857142857,fill_8ed4ea44566effff,cand_ff067ca99be3ba78,intent_70209a6ae577fbac,pend_93d6c148233a2cdc,200,200,10.77,13.88,0.03814510097232615
2026-01-14,601100,buy,119.81988,100,5.11981988,strategy_v5_alpha_ranked_entry,2026-01-13,116.0516,136.77,fill_22e35b7909ac9a01,cand_c16bcfd86f9e9cc5,intent_9533a159d8298a8a,pend_ac917c2656dc8ef8,100,100,120.29,119.76,-0.003908221797323197
