decision_date,code,side,reason,candidate_id,order_intent_id,pending_order_id,requested_shares,shares,signal_date,signal_regime,signal_close,planned_stop,planned_target,rr,initial_risk_cash
2026-01-05,002985,buy,strategy_v5_alpha_ranked_entry,cand_ce317c6ee7bc3126,intent_bec463ec5e3e2485,pend_30a828fe427b235b,400,400,2026-01-05,BULL,32.370000,30.899400,36.201429,2.605351,588.240000
2026-01-05,600219,buy,strategy_v5_alpha_ranked_entry,cand_bae279a13562ebe9,intent_30242dacd1b63401,pend_fd49f9a63cf0c03b,2700,2700,2026-01-05,BULL,5.500000,5.311600,6.040000,2.866242,508.680000
2026-01-05,603306,buy,strategy_v5_alpha_ranked_entry,cand_3886998a0f3c29d6,intent_b86d79e9dd9fbb27,pend_82a255c5b014f708,100,100,2026-01-05,BULL,65.780000,62.524000,74.878571,2.794402,325.600000
2026-01-05,000933,buy,strategy_v5_alpha_ranked_entry,cand_9eeec22227227f43,intent_36ddd8c674426ba4,pend_7a2271da68bea487,100,100,2026-01-05,BULL,28.470000,27.694800,31.523571,3.939076,77.520000
2026-01-05,002446,buy,strategy_v5_alpha_ranked_entry,cand_ff067ca99be3ba78,intent_70209a6ae577fbac,pend_ac406a76af91b4f1,200,200,2026-01-05,BULL,10.770000,10.290000,12.602143,3.816964,96.000000
2026-01-08,603306,sell,three_bars_no_high,cand_3886998a0f3c29d6,intent_4a7a32e0f8ef5ece,pend_4a7a32e0f8ef5ece,100,100,2026-01-08,BULL,64.290000,62.524000,74.878571,0.000000,328.889000
2026-01-09,600320,buy,strategy_v5_alpha_ranked_entry,cand_5e5f3cc8567452b2,intent_044d1ac59db2e27c,pend_7223cdbeac4c088f,1000,1000,2026-01-09,BULL,5.300000,5.056800,5.795000,2.035362,243.200000
2026-01-12,600219,sell,three_bars_no_high,cand_bae279a13562ebe9,intent_f13c9e56fe49430a,pend_f13c9e56fe49430a,2700,2700,2026-01-12,BULL,5.760000,5.483000,6.040000,0.000000,651.172500
2026-01-12,002446,sell,target_close_confirmed,cand_ff067ca99be3ba78,intent_93d6c148233a2cdc,pend_93d6c148233a2cdc,200,200,2026-01-12,BULL,13.370000,11.988571,12.602143,0.000000,67.062000
2026-01-13,601100,buy,strategy_v5_alpha_ranked_entry,cand_c16bcfd86f9e9cc5,intent_9533a159d8298a8a,pend_ac917c2656dc8ef8,100,100,2026-01-13,BULL,120.290000,116.051600,136.770000,3.888260,423.840000
2026-01-13,601212,buy,strategy_v5_alpha_ranked_entry,cand_6215266782bf8ea7,intent_9b8f4825756334ba,pend_83c4b9311d1bb57f,1000,1000,2026-01-13,BULL,6.550000,6.164200,7.675000,2.916019,385.800000
2026-01-14,600320,sell,three_bars_no_high,cand_5e5f3cc8567452b2,intent_d21d5bea5f933461,pend_d21d5bea5f933461,1000,1000,2026-01-14,BULL,5.130000,5.056800,5.795000,0.000000,235.845000
2026-01-14,601100,sell,close_stop,cand_c16bcfd86f9e9cc5,intent_c9be20ae4f51b4e3,pend_c9be20ae4f51b4e3,100,100,2026-01-14,BULL,114.200000,116.051600,136.770000,0.000000,376.828000
2026-01-15,002985,sell,close_stop,cand_ce317c6ee7bc3126,intent_eb303903b806e611,pend_eb303903b806e611,400,400,2026-01-15,BULL,33.450000,33.598000,36.201429,0.000000,486.660000
2026-01-15,601212,add,pyramid_add,cand_6215266782bf8ea7,intent_344da1324e63cb3b,pend_90fbfa8b7088c9c2,700,700,2026-01-15,BULL,7.160000,6.644400,8.422143,2.447911,360.920000
2026-01-15,002957,buy,strategy_v5_alpha_ranked_entry,cand_fd80f613e72b90ae,intent_4c4ffec47b67f98d,pend_962e0bb4fc8d23c0,400,400,2026-01-15,BULL,24.010000,22.736000,26.635000,2.060440,509.600000
2026-01-15,600650,buy,strategy_v5_alpha_ranked_entry,cand_235d13b697e8cbfa,intent_b3e451c7af22e7d9,pend_f1a1be876f754604,800,800,2026-01-15,BULL,17.120000,16.718800,19.020714,4.737573,320.960000
2026-01-16,002957,add,pyramid_add,cand_fd80f613e72b90ae,intent_00c3dda9639c933a,pend_2fcd790dad23eff8,200,200,2026-01-16,BULL,24.300000,23.294600,26.959286,2.645003,201.080000
2026-01-16,600650,sell,close_stop,cand_235d13b697e8cbfa,intent_cfb6b59ef272a43c,pend_cfb6b59ef272a43c,800,800,2026-01-16,BULL,16.430000,16.718800,19.020714,0.000000,135.712000
2026-01-16,688147,buy,strategy_v5_alpha_ranked_entry,cand_8d1c58764c6021b6,intent_832646cccfe2dd73,pend_e6462b3e6c8cbc19,100,100,2026-01-16,BULL,79.500000,74.284000,93.563571,2.696237,521.600000
2026-01-19,000933,sell,target_close_confirmed,cand_9eeec22227227f43,intent_7418fe8ea85e8a76,pend_7418fe8ea85e8a76,100,100,2026-01-19,BULL,31.750000,30.421000,31.523571,0.000000,162.985500
2026-01-19,600487,buy,strategy_v5_alpha_ranked_entry,cand_a72535d507262df6,intent_34580949fcddf879,pend_a3e16024ae51708e,100,100,2026-01-19,BULL,27.080000,26.371800,30.035000,4.172550,70.820000
2026-01-21,601212,sell,target_close_confirmed,cand_6215266782bf8ea7,intent_9fbb0c1d7698ceab,pend_9fbb0c1d7698ceab,1700,1700,2026-01-21,BULL,8.570000,7.585714,8.422143,0.000000,539.150000
2026-01-21,688147,sell,three_bars_no_high,cand_8d1c58764c6021b6,intent_45cbb539dd77e527,pend_45cbb539dd77e527,100,100,2026-01-21,BULL,77.880000,74.284000,93.563571,0.000000,477.551000
2026-01-22,300739,buy,strategy_v5_alpha_ranked_entry,cand_37738499082f6485,intent_9b13edd2442e3f38,pend_2ec38b15f46414b8,700,700,2026-01-22,BULL,20.010000,18.963000,22.240000,2.129895,732.900000
2026-01-22,002080,buy,strategy_v5_alpha_ranked_entry,cand_60247cc3ece7e7cb,intent_4445a9feff8df63b,pend_530d192c0fc13ec3,200,200,2026-01-22,BULL,41.140000,38.416000,46.700000,2.041116,544.800000
2026-01-23,002585,buy,strategy_v5_alpha_ranked_entry,cand_0c02e42f10a599b5,intent_646aceeb4bfb4d3a,pend_3176d2aa5df0db8d,200,200,2026-01-23,BULL,7.990000,7.408800,9.190000,2.064694,116.240000
2026-01-26,002957,sell,time_stop,cand_fd80f613e72b90ae,intent_f2096591aaa4a2b3,pend_f2096591aaa4a2b3,600,600,2026-01-26,BULL,24.230000,23.294600,26.959286,0.000000,550.420000
2026-01-26,600487,sell,target_close_confirmed,cand_a72535d507262df6,intent_dda39c59149ee976,pend_dda39c59149ee976,100,100,2026-01-26,BULL,31.010000,28.175714,30.035000,0.000000,104.190000
2026-01-27,002080,sell,three_bars_no_high,cand_60247cc3ece7e7cb,intent_ae39234887bd0498,pend_ae39234887bd0498,200,200,2026-01-27,BULL,39.030000,38.416000,46.700000,0.000000,586.933000
2026-01-28,300739,sell,three_bars_no_high,cand_37738499082f6485,intent_8e1c23da86a67589,pend_8e1c23da86a67589,700,700,2026-01-28,BULL,19.330000,18.963000,22.240000,0.000000,732.900000
2026-01-28,002585,sell,three_bars_no_high,cand_0c02e42f10a599b5,intent_f18dd90f83947170,pend_f18dd90f83947170,200,200,2026-01-28,BULL,7.570000,7.408800,9.190000,0.000000,93.027000
2026-01-28,601857,buy,strategy_v5_alpha_ranked_entry,cand_d779e30efdc34a5d,intent_29f1fae98aa5815a,pend_a110c18a16c21627,1400,1400,2026-01-28,BULL,10.770000,10.319400,11.815714,2.320715,630.840000
2026-01-28,688601,buy,strategy_v5_alpha_ranked_entry,cand_d9c1cec06fc40e26,intent_0b6449b257bb868d,pend_6d1d1f149782443e,200,200,2026-01-28,BULL,56.540000,52.802400,65.156429,2.305337,747.520000
2026-01-28,300708,buy,strategy_v5_alpha_ranked_entry,cand_581e18fb6938cb4d,intent_1a43dc3f1aa67584,pend_0f5c0206ea51ea1e,1300,1300,2026-01-28,BULL,10.510000,9.927400,11.800000,2.214212,757.380000
2026-01-29,300863,buy,strategy_v5_alpha_ranked_entry,cand_26d34deafb8c80f6,intent_b18aa654f8c79478,pend_1fb0daa56318282a,200,200,2026-01-29,BULL,55.000000,53.762800,58.470000,2.804720,247.440000
2026-01-30,688601,sell,close_stop,cand_d9c1cec06fc40e26,intent_ee805f73f796b480,pend_ee805f73f796b480,200,200,2026-01-30,BULL,50.970000,52.802400,65.156429,0.000000,691.143000
