date,sector,heat_score,member_count,breadth_score,relative_strength_score,amount_score,momentum_score
2026-01-05,制造业,90.739583,960,81.041667,100.000000,80.000000,74.791667
2026-01-05,采矿业,90.321069,38,81.578947,89.179012,100.000000,76.315789
2026-01-05,信息传输、软件和信息技术服务业,87.584941,132,85.606061,94.188250,40.000000,86.363636
2026-01-05,金融业,79.879118,67,74.626866,72.829905,60.000000,70.149254
2026-01-05,批发和零售业,73.739130,46,39.130435,100.000000,20.000000,69.565217
2026-01-06,采矿业,96.073275,38,100.000000,93.345733,80.000000,97.368421
2026-01-06,制造业,89.852041,980,86.224490,100.000000,60.000000,72.959184
2026-01-06,信息传输、软件和信息技术服务业,88.875144,133,92.481203,95.139675,40.000000,79.699248
2026-01-06,金融业,87.824872,68,79.411765,78.358312,100.000000,83.823529
2026-01-06,批发和零售业,76.888889,45,46.666667,100.000000,20.000000,82.222222
2026-01-07,采矿业,92.551426,39,97.435897,92.256986,100.000000,51.282051
2026-01-07,制造业,90.060302,995,87.135678,100.000000,80.000000,52.763819
2026-01-07,信息传输、软件和信息技术服务业,80.492112,138,87.681159,84.953954,40.000000,33.333333
2026-01-07,批发和零售业,75.330871,46,52.173913,96.801744,20.000000,60.869565
2026-01-07,金融业,74.816020,69,76.811594,70.336542,60.000000,20.289855
2026-01-08,信息传输、软件和信息技术服务业,93.149039,143,91.608392,98.498256,80.000000,76.223776
2026-01-08,制造业,88.013820,1013,86.377098,100.000000,60.000000,54.195459
2026-01-08,采矿业,84.000000,41,90.243902,100.000000,40.000000,24.390244
2026-01-08,批发和零售业,77.691995,47,59.574468,96.810531,20.000000,65.957447
2026-01-08,金融业,74.704896,69,66.666667,68.674656,100.000000,8.695652
2026-01-09,信息传输、软件和信息技术服务业,97.006579,152,92.763158,100.000000,100.000000,88.157895
2026-01-09,采矿业,93.906977,43,95.348837,100.000000,60.000000,90.697674
2026-01-09,制造业,92.193237,1035,89.178744,100.000000,80.000000,68.985507
2026-01-09,批发和零售业,84.978723,47,78.723404,100.000000,20.000000,82.978723
2026-01-09,金融业,71.966749,68,57.352941,73.337586,40.000000,52.941176
2026-01-12,信息传输、软件和信息技术服务业,98.720930,172,96.511628,100.000000,100.000000,95.930233
2026-01-12,制造业,90.408451,1065,89.201878,100.000000,60.000000,71.079812
2026-01-12,采矿业,88.880952,42,97.619048,100.000000,40.000000,54.761905
2026-01-12,批发和零售业,87.600000,50,88.000000,100.000000,20.000000,86.000000
2026-01-12,金融业,83.488062,69,63.768116,86.879784,80.000000,78.260870
2026-01-13,采矿业,91.476190,42,95.238095,100.000000,60.000000,66.666667
2026-01-13,信息传输、软件和信息技术服务业,90.945946,185,94.054054,100.000000,100.000000,24.324324
2026-01-13,金融业,82.666886,68,73.529412,86.902836,80.000000,45.588235
2026-01-13,制造业,81.369146,1089,81.359045,100.000000,40.000000,20.293848
2026-01-13,批发和零售业,77.462963,54,72.222222,100.000000,20.000000,24.074074
2026-01-14,信息传输、软件和信息技术服务业,95.919540,203,97.044335,100.000000,83.333333,83.251232
2026-01-14,租赁和商务服务业,93.166667,30,83.333333,100.000000,100.000000,73.333333
2026-01-14,采矿业,87.954545,44,90.909091,100.000000,50.000000,52.272727
2026-01-14,制造业,83.839550,1126,81.349911,100.000000,33.333333,51.687389
2026-01-14,批发和零售业,79.298246,57,70.175439,100.000000,16.666667,50.877193
2026-01-14,金融业,72.596614,72,56.944444,80.108677,66.666667,16.666667
2026-01-15,采矿业,90.587302,45,88.888889,100.000000,71.428571,62.222222
2026-01-15,信息传输、软件和信息技术服务业,89.073821,209,94.736842,100.000000,85.714286,18.181818
2026-01-15,租赁和商务服务业,86.666667,30,80.000000,100.000000,100.000000,16.666667
2026-01-15,制造业,83.974856,1142,80.122592,100.000000,42.857143,46.584939
2026-01-15,电力、热力、燃气及水生产和供应业,79.357143,30,70.000000,100.000000,28.571429,40.000000
2026-01-15,批发和零售业,74.674185,57,63.157895,100.000000,14.285714,24.561404
2026-01-15,金融业,65.056471,75,41.333333,71.768743,57.142857,10.666667
2026-01-16,制造业,89.077866,1165,80.085837,100.000000,85.714286,54.849785
2026-01-16,采矿业,87.000000,45,80.000000,100.000000,100.000000,20.000000
2026-01-16,信息传输、软件和信息技术服务业,84.970100,215,89.767442,100.000000,57.142857,18.139535
2026-01-16,租赁和商务服务业,79.809524,30,66.666667,100.000000,71.428571,10.000000
2026-01-16,电力、热力、燃气及水生产和供应业,78.614719,33,69.696970,100.000000,28.571429,33.333333
2026-01-16,批发和零售业,69.979925,56,60.714286,84.205414,14.285714,23.214286
2026-01-16,金融业,55.919538,76,26.315789,58.114241,42.857143,5.263158
2026-01-19,采矿业,92.065217,46,80.434783,100.000000,100.000000,69.565217
2026-01-19,制造业,89.509556,1186,80.691400,100.000000,83.333333,60.033727
2026-01-19,信息传输、软件和信息技术服务业,86.711712,222,90.090090,100.000000,66.666667,25.225225
2026-01-19,电力、热力、燃气及水生产和供应业,85.904762,35,77.142857,100.000000,33.333333,82.857143
2026-01-19,批发和零售业,72.767584,58,63.793103,75.782978,16.666667,62.068966
2026-01-19,金融业,58.467038,76,23.684211,57.552364,50.000000,31.578947
2026-01-20,采矿业,93.617021,47,87.234043,100.000000,100.000000,68.085106
2026-01-20,电力、热力、燃气及水生产和供应业,86.631579,38,84.210526,100.000000,40.000000,65.789474
2026-01-20,信息传输、软件和信息技术服务业,82.008772,228,76.315789,100.000000,60.000000,19.298246
2026-01-20,批发和零售业,69.257676,56,66.071429,65.816419,20.000000,42.857143
2026-01-20,金融业,66.888387,76,27.631579,58.448286,80.000000,73.684211
2026-01-21,采矿业,94.574468,47,89.361702,100.000000,100.000000,72.340426
2026-01-21,租赁和商务服务业,86.881720,31,77.419355,100.000000,83.333333,41.935484
2026-01-21,信息传输、软件和信息技术服务业,82.334802,227,73.127753,100.000000,50.000000,40.528634
2026-01-21,电力、热力、燃气及水生产和供应业,80.043860,38,76.315789,100.000000,33.333333,26.315789
2026-01-21,批发和零售业,67.477992,57,63.157895,66.754072,16.666667,33.333333
2026-01-21,金融业,58.628962,76,26.315789,55.217602,66.666667,15.789474
2026-01-22,采矿业,93.541667,48,91.666667,100.000000,100.000000,56.250000
2026-01-22,租赁和商务服务业,91.075269,31,77.419355,100.000000,83.333333,83.870968
2026-01-22,信息传输、软件和信息技术服务业,85.754310,232,74.568966,100.000000,50.000000,71.120690
