code,entry_date,exit_date,net_pnl,exit_reason,signal_date,rank,ranking_score,entry_score,relative_strength_score,reasons
603306,2026-01-06,2026-01-09,-227.786889,three_bars_no_high,2026-01-05,3,93.244375,60.000000,20.000000,MA20>MA60|MA60>MA120|close>MA20|trend_persistence|rs20=35.95|rs60=25.48|up_volume_confirm|volume_not_exhausted|pullback_volume_control|mid_atr|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
600219,2026-01-06,2026-01-13,560.626758,three_bars_no_high,2026-01-05,2,96.244375,60.000000,20.000000,MA20>MA60|MA60>MA120|close>MA20|rs20=8.25|rs60=33.97|up_volume_confirm|volume_not_exhausted|pullback_volume_control|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
002446,2026-01-06,2026-01-13,638.162694,target_close_confirmed,2026-01-05,5,88.244375,60.000000,20.000000,MA20>MA60|MA60>MA120|close>MA20|rs20=19.18|rs60=24.33|up_volume_confirm|volume_not_exhausted|pullback_volume_control|mid_atr|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
600320,2026-01-12,2026-01-15,-187.867821,three_bars_no_high,2026-01-09,1,96.331594,60.000000,20.000000,MA20>MA60|MA60>MA120|close>MA20|rs20=3.65|rs60=8.74|up_volume_confirm|volume_not_exhausted|pullback_volume_control|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
601100,2026-01-14,2026-01-15,-703.517938,close_stop,2026-01-13,1,87.682149,60.000000,20.000000,MA20>MA60|MA60>MA120|close>MA20|rs20=5.08|rs60=29.27|up_volume_confirm|volume_not_exhausted|pullback_volume_control|mid_atr|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
002985,2026-01-06,2026-01-16,542.171353,close_stop,2026-01-05,1,96.244375,60.000000,20.000000,MA20>MA60|MA60>MA120|close>MA20|rs20=13.65|rs60=9.15|up_volume_confirm|volume_not_exhausted|pullback_volume_control|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
600650,2026-01-16,2026-01-19,-661.884545,close_stop,2026-01-15,5,75.000000,60.000000,20.000000,MA20>MA60|close>MA20|rs20=1.49|rs60=4.90|up_volume_confirm|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
000933,2026-01-06,2026-01-20,249.340299,target_close_confirmed,2026-01-05,4,91.244375,60.000000,20.000000,MA20>MA60|MA60>MA120|close>MA20|rs20=6.58|rs60=34.05|up_volume_confirm|volume_not_exhausted|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
601212,2026-01-14,2026-01-22,2389.922268,target_close_confirmed,2026-01-13,2,82.682149,60.000000,10.000000,MA20>MA60|MA60>MA120|close>MA20|trend_persistence|rs20=24.00|up_volume_confirm|volume_not_exhausted|pullback_volume_control|mid_atr|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
688147,2026-01-19,2026-01-22,-78.951509,three_bars_no_high,2026-01-16,2,88.144672,60.000000,20.000000,MA20>MA60|MA60>MA120|close>MA20|rs20=15.87|rs60=55.81|up_volume_confirm|volume_not_exhausted|pullback_volume_control|mid_atr|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
002957,2026-01-16,2026-01-27,-190.565418,time_stop,2026-01-15,1,100.838491,60.000000,20.000000,MA20>MA60|MA60>MA120|close>MA20|trend_persistence|rs20=21.73|rs60=14.58|up_volume_confirm|volume_not_exhausted|pullback_volume_control|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
600487,2026-01-20,2026-01-27,315.502669,target_close_confirmed,2026-01-19,1,91.170573,60.000000,20.000000,MA20>MA60|MA60>MA120|close>MA20|rs20=15.83|rs60=25.93|up_volume_confirm|volume_not_exhausted|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
002080,2026-01-23,2026-01-28,-487.931050,three_bars_no_high,2026-01-22,2,87.000000,60.000000,20.000000,MA20>MA60|MA60>MA120|close>MA20|rs20=6.29|rs60=18.43|up_volume_confirm|volume_not_exhausted|pullback_volume_control|mid_atr|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
300739,2026-01-23,2026-01-29,-555.471631,three_bars_no_high,2026-01-22,1,87.000000,80.000000,20.000000,MA20>MA60|MA60>MA120|close>MA20|rs20=9.62|rs60=15.66|up_volume_confirm|volume_not_exhausted|pullback_volume_control|mid_atr|trend_ma20_gt_ma60|pullback_reclaimed_ma20|price_recovered|volume_confirmed|rsi_entry_zone
