date,code,side,price,shares,fee,reason,signal_date,stop,target
2026-01-06,002985,buy,32.11605,400,5.0,strategy_v5_alpha_ranked_entry,2026-01-05,30.8994,36.20142857142857
2026-01-06,600219,buy,5.552775,2700,5.149924925,strategy_v5_alpha_ranked_entry,2026-01-05,5.311599999999999,6.04
2026-01-06,603306,buy,65.81289,100,5.06581289,strategy_v5_alpha_ranked_entry,2026-01-05,62.523999999999994,74.87857142857143
2026-01-06,000933,buy,29.324654999999996,100,5.0,strategy_v5_alpha_ranked_entry,2026-01-05,27.6948,31.523571428571426
2026-01-06,002446,buy,10.625309999999999,200,5.0,strategy_v5_alpha_ranked_entry,2026-01-05,10.29,12.602142857142857
2026-01-09,603306,sell,63.668150000000004,100,8.247075650000001,three_bars_no_high,2026-01-08,62.523999999999994,74.87857142857143
2026-01-12,600320,buy,5.292644999999999,1000,5.05292645,strategy_v5_alpha_ranked_entry,2026-01-09,5.0568,5.795
2026-01-13,600219,sell,5.7671149999999995,2700,12.941317354999999,three_bars_no_high,2026-01-12,5.483,6.04
2026-01-13,002446,sell,13.873060000000002,200,6.387306000000001,target_close_confirmed,2026-01-12,11.988571428571428,12.602142857142857
2026-01-14,601100,buy,119.81988,100,5.11981988,strategy_v5_alpha_ranked_entry,2026-01-13,116.0516,136.77
2026-01-14,601212,buy,6.7033499999999995,1000,5.0670335,strategy_v5_alpha_ranked_entry,2026-01-13,6.1642,7.675000000000001
2026-01-15,600320,sell,5.11744,1000,7.6098944,three_bars_no_high,2026-01-14,5.0568,5.795
2026-01-15,601100,sell,112.9435,100,10.7601185,close_stop,2026-01-14,116.0516,136.77
2026-01-16,002985,sell,33.513235,400,11.702646999999999,close_stop,2026-01-15,33.598,36.20142857142857
2026-01-16,601212,add,7.0035,700,5.0490245,pyramid_add,2026-01-15,6.6444,8.422142857142857
2026-01-16,002957,buy,24.11205,400,5.0,strategy_v5_alpha_ranked_entry,2026-01-15,22.736,26.635
2026-01-16,600650,buy,16.88844,800,5.13510752,strategy_v5_alpha_ranked_entry,2026-01-15,16.718799999999998,19.020714285714284
2026-01-19,002957,add,24.222105,200,5.0,pyramid_add,2026-01-16,23.2946,26.959285714285716
2026-01-19,600650,sell,16.081955,800,11.56143764,close_stop,2026-01-16,16.718799999999998,19.020714285714284
2026-01-19,688147,buy,79.05950999999999,100,5.07905951,strategy_v5_alpha_ranked_entry,2026-01-16,74.28399999999999,93.56357142857144
2026-01-20,000933,sell,31.934025000000002,100,6.596701250000001,target_close_confirmed,2026-01-19,30.421,31.523571428571426
2026-01-20,600487,buy,27.4137,100,5.0274137,strategy_v5_alpha_ranked_entry,2026-01-19,26.3718,30.035000000000004
2026-01-22,601212,sell,8.245875,1700,12.149173625,target_close_confirmed,2026-01-21,7.585714285714285,8.422142857142857
2026-01-22,688147,sell,78.410775,100,8.998949525,three_bars_no_high,2026-01-21,74.28399999999999,93.56357142857144
2026-01-23,300739,buy,20.009999999999998,700,5.0,strategy_v5_alpha_ranked_entry,2026-01-22,18.963,22.240000000000002
2026-01-23,002080,buy,41.350665,200,5.0,strategy_v5_alpha_ranked_entry,2026-01-22,38.416000000000004,46.7
2026-01-26,002585,buy,7.8739349999999995,200,5.0,strategy_v5_alpha_ranked_entry,2026-01-23,7.408799999999999,9.19
2026-01-27,002957,sell,23.86806,600,12.160418,time_stop,2026-01-26,23.2946,26.959285714285716
2026-01-27,600487,sell,30.68465,100,6.56491715,target_close_confirmed,2026-01-26,28.175714285714285,30.035000000000004
2026-01-28,002080,sell,38.9805,200,8.89805,three_bars_no_high,2026-01-27,38.416000000000004,46.7
2026-01-29,300739,sell,19.240375,700,11.73413125,three_bars_no_high,2026-01-28,18.963,22.240000000000002
2026-01-29,002585,sell,7.286355,200,5.7286355,three_bars_no_high,2026-01-28,7.408799999999999,9.19
2026-01-29,601857,buy,10.90545,1300,5.14177085,strategy_v5_alpha_ranked_entry,2026-01-28,10.3194,11.815714285714286
2026-01-29,688601,buy,56.258115,200,5.11251623,strategy_v5_alpha_ranked_entry,2026-01-28,52.8024,65.15642857142856
2026-01-29,300708,buy,10.38519,1300,5.0,strategy_v5_alpha_ranked_entry,2026-01-28,9.9274,11.8
2026-01-30,300863,buy,55.097535,200,5.0,strategy_v5_alpha_ranked_entry,2026-01-29,53.76279999999999,58.47
2026-02-02,688601,sell,50.57470000000001,200,10.158619400000003,close_stop,2026-01-30,52.8024,65.15642857142856
2026-02-02,300863,sell,60.41977500000001,200,11.041977500000002,target_close_confirmed,2026-01-30,58.444,58.47
