date,code,name,industry,market_regime,eligible,market_ok,alpha_total,sector_bonus,ranking_score,trend_score,relative_strength_score,volume_quality_score,risk_score,sector_heat_score,entry_score,hard_pass,rank,selected,rejection_reason,shares,stop,target,rr,reasons
2026-01-05,002985,北摩高科,制造业,BULL,1,1,95.000000,1.244375,96.244375,35.000000,20.000000,20.000000,20.000000,90.739583,60.000000,1,18,1,,400,30.899400,36.201429,2.605351,MA20>MA60|MA60>MA120|close>MA20|rs20=13.65|rs60=9.15|up_volume_confirm|volume_not_exhausted|pullback_volume_control|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
2026-01-05,600219,南山铝业,制造业,BULL,1,1,95.000000,1.244375,96.244375,35.000000,20.000000,20.000000,20.000000,90.739583,60.000000,1,20,1,,2700,5.311600,6.040000,2.866242,MA20>MA60|MA60>MA120|close>MA20|rs20=8.25|rs60=33.97|up_volume_confirm|volume_not_exhausted|pullback_volume_control|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
2026-01-05,603306,华懋科技,制造业,BULL,1,1,92.000000,1.244375,93.244375,40.000000,20.000000,20.000000,12.000000,90.739583,60.000000,1,40,1,,100,62.524000,74.878571,2.794402,MA20>MA60|MA60>MA120|close>MA20|trend_persistence|rs20=35.95|rs60=25.48|up_volume_confirm|volume_not_exhausted|pullback_volume_control|mid_atr|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
2026-01-05,000933,神火股份,制造业,BULL,1,1,90.000000,1.244375,91.244375,35.000000,20.000000,15.000000,20.000000,90.739583,60.000000,1,53,1,,100,27.694800,31.523571,3.939076,MA20>MA60|MA60>MA120|close>MA20|rs20=6.58|rs60=34.05|up_volume_confirm|volume_not_exhausted|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
2026-01-05,002446,盛路通信,制造业,BULL,1,1,87.000000,1.244375,88.244375,35.000000,20.000000,20.000000,12.000000,90.739583,60.000000,1,78,1,,200,10.290000,12.602143,3.816964,MA20>MA60|MA60>MA120|close>MA20|rs20=19.18|rs60=24.33|up_volume_confirm|volume_not_exhausted|pullback_volume_control|mid_atr|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
2026-01-09,600320,振华重工,制造业,BULL,1,1,95.000000,1.331594,96.331594,35.000000,20.000000,20.000000,20.000000,92.193237,60.000000,1,19,1,,1000,5.056800,5.795000,2.035362,MA20>MA60|MA60>MA120|close>MA20|rs20=3.65|rs60=8.74|up_volume_confirm|volume_not_exhausted|pullback_volume_control|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
2026-01-13,601100,恒立液压,制造业,BULL,1,1,87.000000,0.682149,87.682149,35.000000,20.000000,20.000000,12.000000,81.369146,60.000000,1,30,1,,100,116.051600,136.770000,3.888260,MA20>MA60|MA60>MA120|close>MA20|rs20=5.08|rs60=29.27|up_volume_confirm|volume_not_exhausted|pullback_volume_control|mid_atr|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
2026-01-13,601212,白银有色,制造业,BULL,1,1,82.000000,0.682149,82.682149,40.000000,10.000000,20.000000,12.000000,81.369146,60.000000,1,68,1,,1000,6.164200,7.675000,2.916019,MA20>MA60|MA60>MA120|close>MA20|trend_persistence|rs20=24.00|up_volume_confirm|volume_not_exhausted|pullback_volume_control|mid_atr|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
2026-01-15,002957,科瑞技术,制造业,BULL,1,1,100.000000,0.838491,100.838491,40.000000,20.000000,20.000000,20.000000,83.974856,60.000000,1,3,1,,400,22.736000,26.635000,2.060440,MA20>MA60|MA60>MA120|close>MA20|trend_persistence|rs20=21.73|rs60=14.58|up_volume_confirm|volume_not_exhausted|pullback_volume_control|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
2026-01-15,600650,锦江在线,交通运输、仓储和邮政业,BULL,1,1,75.000000,0.000000,75.000000,25.000000,20.000000,10.000000,20.000000,0.000000,60.000000,1,240,1,,800,16.718800,19.020714,4.737573,MA20>MA60|close>MA20|rs20=1.49|rs60=4.90|up_volume_confirm|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
