date,all_symbols,eligible,evaluated,hard_pass,selected,capacity_rejected
2026-01-05,71,19,70,7,0,0
2026-01-06,71,19,70,7,0,0
2026-01-07,71,19,70,6,0,0
2026-01-08,71,20,70,7,0,0
2026-01-09,71,21,70,8,0,0
2026-01-12,71,23,70,8,0,0
2026-01-13,71,23,70,5,0,0
2026-01-14,71,23,70,7,0,0
2026-01-15,71,23,70,7,0,0
2026-01-16,71,23,70,6,0,0
2026-01-19,71,24,70,6,0,0
2026-01-20,71,25,70,4,0,0
2026-01-21,71,27,70,7,0,0
2026-01-22,71,27,70,9,0,0
2026-01-23,71,27,70,7,0,0
2026-01-26,71,27,70,3,0,0
2026-01-27,71,27,70,8,0,0
2026-01-28,71,27,70,4,0,0
2026-01-29,71,28,70,8,0,0
2026-01-30,71,29,70,7,0,0
2026-02-02,71,29,70,5,0,0
2026-02-03,71,28,70,9,0,0
2026-02-04,71,28,70,7,0,0
2026-02-05,71,28,70,3,0,0
2026-02-06,71,27,70,3,0,0
2026-02-09,71,27,70,6,0,0
2026-02-10,71,27,70,4,1,0
2026-02-11,71,27,70,4,0,0
2026-02-12,71,27,70,6,0,0
2026-02-13,71,27,70,5,0,0
2026-02-24,71,27,70,8,1,0
2026-02-25,71,27,70,9,0,0
2026-02-26,71,26,70,6,0,0
2026-02-27,71,24,70,7,0,0
2026-03-02,71,24,70,5,0,0
2026-03-03,71,25,70,5,1,0
2026-03-04,71,25,70,9,0,0
2026-03-05,71,25,70,9,0,0
2026-03-06,71,25,70,5,0,0
2026-03-09,71,25,70,6,0,0
2026-03-10,71,25,70,8,0,0
2026-03-11,71,25,70,7,0,0
2026-03-12,71,25,70,8,0,0
2026-03-13,71,27,70,4,0,0
2026-03-16,71,27,70,3,0,0
2026-03-17,71,26,70,0,0,0
2026-03-18,71,27,70,5,0,0
2026-03-19,71,27,70,2,0,0
2026-03-20,71,27,70,0,0,0
2026-03-23,71,27,70,0,0,0
2026-03-24,71,27,70,0,0,0
2026-03-25,71,27,70,0,0,0
2026-03-26,71,28,70,0,0,0
2026-03-27,71,29,70,0,0,0
2026-03-30,71,29,70,4,0,0
2026-03-31,71,28,70,0,0,0
