date,all_symbols,eligible,evaluated,hard_pass,selected,capacity_rejected
2026-01-05,5247,1399,5203,7,3,0
2026-01-06,5247,1426,5204,9,2,0
2026-01-07,5247,1451,5205,5,0,0
2026-01-08,5247,1481,5204,6,0,0
2026-01-09,5247,1512,5203,13,0,0
2026-01-12,5247,1567,5203,7,0,0
2026-01-13,5247,1620,5196,2,2,0
2026-01-14,5247,1693,5198,1,0,0
2026-01-15,5247,1722,5200,5,2,0
2026-01-16,5247,1758,5202,9,1,0
2026-01-19,5247,1793,5203,5,1,0
2026-01-20,5247,1822,5209,1,1,0
2026-01-21,5247,1854,5206,1,0,0
2026-01-22,5247,1871,5206,5,2,0
2026-01-23,5247,1902,5207,4,0,0
2026-01-26,5247,1942,5203,6,1,0
2026-01-27,5247,1967,5203,0,0,0
2026-01-28,5247,1993,5202,5,2,0
2026-01-29,5247,2034,5202,1,1,0
2026-01-30,5247,2057,5199,3,2,0
2026-02-02,5247,2075,5201,2,0,0
2026-02-03,5247,2056,5201,2,0,0
2026-02-04,5247,2042,5204,7,5,0
2026-02-05,5247,2030,5203,1,0,0
2026-02-06,5247,2013,5201,0,0,0
2026-02-09,5247,1974,5201,7,0,0
2026-02-10,5247,1929,5203,10,2,0
2026-02-11,5247,1866,5202,4,2,0
2026-02-12,5247,1843,5206,9,0,0
2026-02-13,5247,1805,5204,2,1,0
2026-02-24,5247,1787,5204,12,1,0
2026-02-25,5247,1771,5201,22,3,0
2026-02-26,5247,1759,5200,19,0,0
2026-02-27,5247,1758,5200,9,0,0
2026-03-02,5247,1753,5198,8,0,0
2026-03-03,5247,1748,5199,2,1,0
2026-03-04,5247,1727,5200,1,0,0
2026-03-05,5247,1711,5201,5,2,0
2026-03-06,5247,1688,5201,7,0,0
2026-03-09,5247,1688,5204,6,2,0
2026-03-10,5247,1680,5202,6,1,0
2026-03-11,5247,1688,5205,5,0,0
2026-03-12,5247,1683,5205,9,1,0
2026-03-13,5247,1693,5204,1,0,0
2026-03-16,5247,1702,5203,2,1,0
2026-03-17,5247,1704,5201,1,1,0
2026-03-18,5247,1703,5201,0,0,0
2026-03-19,5247,1711,5201,3,2,0
2026-03-20,5247,1718,5202,1,0,0
2026-03-23,5247,1731,5204,0,0,0
2026-03-24,5247,1728,5202,0,0,0
2026-03-25,5247,1713,5201,3,3,0
2026-03-26,5247,1702,5200,4,2,0
2026-03-27,5247,1691,5196,3,0,0
2026-03-30,5247,1652,5193,6,2,0
2026-03-31,5247,1614,5196,3,1,0
2026-04-01,5247,1597,5198,1,1,0
2026-04-02,5247,1585,5198,3,1,0
2026-04-03,5247,1572,5199,0,0,0
2026-04-07,5247,1541,5197,0,0,0
2026-04-08,5247,1530,5201,9,3,0
2026-04-09,5247,1520,5202,10,1,0
2026-04-10,5247,1493,5203,10,0,0
2026-04-13,5247,1494,5201,6,0,0
2026-04-14,5247,1492,5203,5,1,0
2026-04-15,5247,1492,5201,4,2,0
2026-04-16,5247,1505,5202,4,0,0
2026-04-17,5247,1513,5200,8,1,0
2026-04-20,5247,1524,5195,4,2,0
2026-04-21,5247,1509,5198,5,0,0
2026-04-22,5247,1509,5197,3,1,0
2026-04-23,5247,1522,5195,7,1,0
2026-04-24,5247,1525,5193,1,1,0
2026-04-27,5247,1537,5192,8,0,0
2026-04-28,5247,1552,5184,3,2,0
2026-04-29,5247,1566,5158,4,1,0
2026-04-30,5247,1577,5157,8,1,0
2026-05-06,5247,1607,5186,14,1,0
2026-05-07,5247,1637,5188,6,2,0
2026-05-08,5247,1672,5186,5,1,0
2026-05-11,5247,1695,5184,11,2,0
2026-05-12,5247,1722,5183,7,0,0
2026-05-13,5247,1748,5187,8,2,0
2026-05-14,5247,1770,5187,5,0,0
2026-05-15,5247,1794,5187,0,0,0
2026-05-18,5247,1812,5189,0,0,0
2026-05-19,5247,1828,5185,3,3,0
2026-05-20,5247,1851,5189,5,1,0
2026-05-21,5247,1866,5192,4,0,0
2026-05-22,5247,1871,5191,0,0,0
2026-05-25,5247,1883,5191,7,3,0
2026-05-26,5247,1884,5191,2,1,0
2026-05-27,5247,1891,5190,3,0,0
2026-05-28,5247,1899,5190,1,0,0
2026-05-29,5247,1918,5189,3,2,0
2026-06-01,5247,1918,5191,1,0,0
2026-06-02,5247,1920,5190,5,5,0
2026-06-03,5247,1904,5194,4,1,0
2026-06-04,5247,1881,5194,4,0,0
2026-06-05,5247,1879,5196,1,0,0
2026-06-08,5247,1850,5197,2,1,0
2026-06-09,5247,1817,5196,2,2,0
2026-06-10,5247,1788,5193,6,0,0
2026-06-11,5247,1758,5191,2,1,0
2026-06-12,5247,1741,5192,3,0,0
2026-06-15,5247,1747,5187,1,0,0
2026-06-16,5247,1751,5192,9,3,0
2026-06-17,5247,1750,5188,10,1,0
2026-06-18,5247,1729,5186,11,0,0
2026-06-22,5247,1740,5189,14,1,0
2026-06-23,5247,1742,5191,3,0,0
2026-06-24,5247,1742,5189,2,0,0
2026-06-25,5247,1740,5188,3,2,0
2026-06-26,5247,1737,5189,6,2,0
2026-06-29,5247,1717,5185,5,1,0
2026-06-30,5247,1715,5182,6,0,0
2026-07-01,5247,1720,5185,11,1,0
2026-07-02,5247,1718,5189,1,0,0
2026-07-03,5247,1728,5188,2,0,0
2026-07-06,5247,1718,5189,2,0,0
2026-07-07,5247,1717,5189,0,0,0
2026-07-08,5247,1708,5189,0,0,0
2026-07-09,5247,1703,5189,1,1,0
