date,hard_pass,already_in_position,risk_halted,ranked,sector_cap_rejected,gross_exposure_rejected,cash_rejected,lot_size_rejected,max_positions_rejected,pending,open_limit_blocked,filled,completed_trade
2026-01-05,7,0,0,7,0,0,0,0,0,3,0,3,3
2026-01-06,9,0,0,9,0,0,0,0,0,2,0,2,2
2026-01-07,5,0,0,5,0,0,0,0,0,0,0,0,0
2026-01-08,6,0,0,6,0,0,0,0,0,0,0,0,0
2026-01-09,13,0,0,13,0,0,0,0,0,0,0,0,0
2026-01-12,7,0,0,7,0,0,0,0,0,0,0,0,0
2026-01-13,2,0,0,2,0,0,0,0,0,2,0,2,2
2026-01-14,1,0,0,1,0,0,0,0,0,0,0,0,0
2026-01-15,5,0,0,5,0,0,0,0,0,2,0,2,2
2026-01-16,9,0,0,9,0,0,0,0,0,1,0,1,1
2026-01-19,5,0,0,5,0,0,0,0,0,1,0,1,1
2026-01-20,1,0,0,1,0,0,0,0,0,1,0,1,1
2026-01-21,1,0,0,1,0,0,0,0,0,0,0,0,0
2026-01-22,5,0,0,5,0,0,0,0,0,2,0,2,2
2026-01-23,4,0,0,4,0,0,0,0,0,0,0,0,0
2026-01-26,6,0,0,6,0,0,0,0,0,1,0,1,1
2026-01-27,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-28,5,0,0,5,0,0,0,0,0,2,0,2,2
2026-01-29,1,0,0,1,0,0,0,0,0,1,0,1,1
2026-01-30,3,0,0,3,0,0,0,0,0,2,0,2,2
2026-02-02,2,0,0,2,0,0,0,0,0,0,0,0,0
2026-02-03,2,0,0,2,0,0,0,0,0,0,0,0,0
2026-02-04,7,0,0,7,0,0,0,0,0,5,0,5,5
2026-02-05,1,0,0,1,0,0,0,0,0,0,0,0,0
2026-02-06,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-02-09,7,0,0,7,0,0,0,0,0,0,0,0,0
2026-02-10,10,0,0,10,0,0,0,0,0,2,0,2,2
2026-02-11,4,0,0,4,0,0,0,0,0,2,0,2,2
2026-02-12,9,0,0,9,0,0,0,0,0,0,0,0,0
2026-02-13,2,0,0,2,0,0,0,0,0,1,0,1,1
2026-02-24,12,0,0,12,0,0,0,0,0,1,0,1,1
2026-02-25,22,0,0,22,0,0,0,0,0,3,0,3,3
2026-02-26,19,0,0,19,0,0,0,0,0,0,0,0,0
2026-02-27,9,0,0,9,0,0,0,0,0,0,0,0,0
2026-03-02,8,0,0,8,0,0,0,0,0,0,0,0,0
2026-03-03,2,0,0,2,0,0,0,0,0,1,0,0,0
2026-03-04,1,0,0,1,0,0,0,0,0,0,0,0,0
2026-03-05,5,0,0,5,0,0,0,0,0,2,0,2,2
2026-03-06,7,0,0,7,0,0,0,0,0,0,0,0,0
2026-03-09,6,0,0,6,0,0,0,0,0,2,0,1,1
