trade_id,position_id,candidate_id,order_intent_id,pending_order_id,entry_fill_id,exit_fill_id,code,entry_date,exit_date,net_pnl,exit_reason,signal_date,rank,ranking_score,entry_score,relative_strength_score,raw_opening_gap,execution_slippage,all_in_entry_move,realized_r_on_initial_risk,realized_r_on_total_risk,add_count,reason_code
trade_ffc2dd771a112dcb,pos_faaa313ca87994de,cand_0c7fcb81ba43826b,intent_5dda6433030aa531,pend_53c0b2acaa75739c,fill_91f4cecc8ea5a666,fill_adb34acb54dcf157,002379,2026-01-06,2026-01-13,1454.318571,target_close_confirmed,2026-01-05,881,78.244375,60.000000,20.000000,0.016680,0.000500,0.017188,2.011506,2.011506,0,ok
trade_e476f0124f42b2b4,pos_2e488a95f2c57fdf,cand_ff067ca99be3ba78,intent_70209a6ae577fbac,pend_c906bf02e64725de,fill_baf4443a1fd0546b,fill_9c4cb4180b422c8c,002446,2026-01-06,2026-01-13,3878.976164,target_close_confirmed,2026-01-05,944,88.244375,60.000000,20.000000,-0.013928,0.000500,-0.013435,9.640274,9.640274,0,ok
trade_f92d8fa6c8fc5816,pos_e8a5169d2e1dcd67,cand_93f34050f31dd0aa,intent_3868083e280d3f0c,pend_1bb327036788f457,fill_982f283e26e1fb1c,fill_77aa7c3c565dae63,000426,2026-01-07,2026-01-15,3618.565559,target_close_confirmed,2026-01-06,85,88.564397,60.000000,20.000000,0.017622,0.006235,0.023967,4.161423,3.375065,1,ok
trade_f1d28f3f367cfcce,pos_e76ae3bcc294fbb7,cand_e95f08f448f56efe,intent_e89bf6c8b1007c94,pend_e620ed56bf5f2367,fill_712854a1d01be53b,fill_e6c3fd4b9bc0e3d2,000603,2026-01-07,2026-01-15,1847.688542,target_close_confirmed,2026-01-06,167,81.564397,60.000000,20.000000,0.010306,0.000500,0.010811,2.428656,2.428656,0,ok
trade_7470141add57d328,pos_90074a0c3729702a,cand_c16bcfd86f9e9cc5,intent_9533a159d8298a8a,pend_ac917c2656dc8ef8,fill_fe4ae6acf3eed59a,fill_504adf699843ff24,601100,2026-01-14,2026-01-15,-703.517938,close_stop,2026-01-13,3715,87.682149,60.000000,20.000000,-0.004406,0.000500,-0.003908,-1.866947,-1.866947,0,ok
trade_c229711a28657e51,pos_6749967172cc2b8a,cand_235d13b697e8cbfa,intent_b3e451c7af22e7d9,pend_eebe831f91bec89a,fill_297caecd47c55f46,fill_681f48bb10c811d9,600650,2026-01-16,2026-01-19,-743.370113,close_stop,2026-01-15,3408,75.000000,60.000000,20.000000,-0.014019,0.000500,-0.013526,-4.868939,-4.868939,0,ok
trade_6a263a3e6b26dfa9,pos_0ea40b0b81628b68,cand_9eeec22227227f43,intent_36ddd8c674426ba4,pend_64cd1313e6baac0c,fill_f0c033d472f1b416,fill_d8b276ed0aef5f99,000933,2026-01-06,2026-01-20,1286.701494,target_close_confirmed,2026-01-05,378,91.244375,60.000000,20.000000,0.029505,0.000500,0.030019,1.578915,1.578915,0,ok
trade_3dd4ec26591cc67e,pos_dc9edfbae3731d5c,cand_c0fb99f296f3f6f7,intent_b8c3fcf8413f765c,pend_4de22cc44849438b,fill_c041588283f2468e,fill_e9798d6055db9c90,002281,2026-01-16,2026-01-20,-534.185178,close_stop,2026-01-15,788,87.838491,60.000000,20.000000,-0.006369,0.000500,-0.005873,-1.859329,-1.859329,0,ok
trade_b1b6268d2252f571,pos_4b616e7a705c98a2,cand_6215266782bf8ea7,intent_9b8f4825756334ba,pend_83c4b9311d1bb57f,fill_6d565fef6eb0a61d,fill_d156fa572e404d27,601212,2026-01-14,2026-01-22,3927.608873,target_close_confirmed,2026-01-13,3752,82.682149,60.000000,10.000000,0.022901,0.012114,0.035293,3.642408,2.953822,1,ok
trade_1bfe5aeabb40469a,pos_5933870faf4a314c,cand_d371c46c5bc35445,intent_5a53d11c89feb66d,pend_21ee74efa43a3163,fill_f63f659d7dfd718a,fill_9983db651b982314,300731,2026-01-23,2026-01-26,-374.207495,close_stop,2026-01-22,2219,80.000000,60.000000,20.000000,-0.011473,0.000500,-0.010979,-2.016335,-2.016335,0,ok
trade_2d410d26e7cd5cf0,pos_ca5c24e3bb8a541b,cand_e03c76c3af51b7ed,intent_c0507feb39282ed0,pend_25ba707d0f3f531e,fill_db0f14a6b7e241ef,fill_35167c456ba6a890,002560,2026-01-19,2026-01-28,-12.626229,time_stop,2026-01-16,1046,78.144672,60.000000,20.000000,-0.016319,0.000500,-0.015827,-0.259252,-0.259252,0,ok
trade_d97ad00a37c72c5d,pos_99a203c937171711,cand_60247cc3ece7e7cb,intent_4445a9feff8df63b,pend_cb87dceb06e23ae8,fill_32cde38d8fb1d5b7,fill_d28daff653e476a7,002080,2026-01-23,2026-01-28,-726.896575,three_bars_no_high,2026-01-22,597,87.000000,60.000000,20.000000,0.004618,0.000500,0.005121,-0.825644,-0.825644,0,ok
trade_e70be69981c058ef,pos_db2206b84583a658,cand_3e44707f24f3c5ab,intent_05bd812f06e005b9,pend_54cb02557f55f770,fill_7ab93b9a964b5b92,fill_db33d1b563586474,688291,2026-01-20,2026-01-29,-880.716135,time_stop,2026-01-19,4869,76.002703,60.000000,20.000000,0.004114,0.000500,0.004616,-0.929883,-0.929883,0,ok
trade_1befdce4fbf73fe0,pos_4a93d0aaac608b68,cand_ec2694e930fa356a,intent_d9d1f3607c27a866,pend_f28059cf0fb03f59,fill_be777530cbd736c3,fill_530ff0c4390a1abc,300242,2026-01-27,2026-01-29,-1163.274881,close_stop,2026-01-26,1755,75.800000,60.000000,20.000000,-0.029940,0.000500,-0.029455,-1.684529,-1.684529,0,ok
