position_id,trade_id,fill_id,fill_role,candidate_id,order_intent_id,pending_order_id,shares,price,fee,risk_cash_added
pos_80c680d5dd92971f,trade_ff612e122988c51f,fill_eaae38601ea1bcbd,initial_entry,cand_ce317c6ee7bc3126,intent_bec463ec5e3e2485,pend_30a828fe427b235b,400,32.116050,5.000000,486.660000
pos_6b13c1b13e8e9609,trade_bf4b6565911898f1,fill_3c642eea09e515a7,initial_entry,cand_bae279a13562ebe9,intent_30242dacd1b63401,pend_fd49f9a63cf0c03b,2700,5.552775,5.149925,651.172500
pos_e01feb25e7faf397,trade_ab82f2df0ac32d9a,fill_9fbc885460125d10,initial_entry,cand_3886998a0f3c29d6,intent_b86d79e9dd9fbb27,pend_82a255c5b014f708,100,65.812890,5.065813,328.889000
pos_67180380bcf9588d,trade_661b6bdf93a36714,fill_b7b78b7ac9524f2a,initial_entry,cand_9eeec22227227f43,intent_36ddd8c674426ba4,pend_7a2271da68bea487,100,29.324655,5.000000,162.985500
pos_3ccd9660fcba7a4f,trade_294c1eae64d4e049,fill_8b771b2157f6ba60,initial_entry,cand_ff067ca99be3ba78,intent_70209a6ae577fbac,pend_ac406a76af91b4f1,200,10.625310,5.000000,67.062000
pos_e01feb25e7faf397,trade_ab82f2df0ac32d9a,fill_63f83ed85eec76ef,final_exit,cand_3886998a0f3c29d6,intent_b86d79e9dd9fbb27,pend_82a255c5b014f708,100,63.668150,8.247076,0.000000
pos_698b4358c60b8c4c,trade_f29cbfcb4ed52d6e,fill_28f689f270286a15,initial_entry,cand_5e5f3cc8567452b2,intent_044d1ac59db2e27c,pend_7223cdbeac4c088f,1000,5.292645,5.052926,235.845000
pos_6b13c1b13e8e9609,trade_bf4b6565911898f1,fill_4b7853ee54506c4e,final_exit,cand_bae279a13562ebe9,intent_30242dacd1b63401,pend_fd49f9a63cf0c03b,2700,5.767115,12.941317,0.000000
pos_3ccd9660fcba7a4f,trade_294c1eae64d4e049,fill_8ed4ea44566effff,final_exit,cand_ff067ca99be3ba78,intent_70209a6ae577fbac,pend_ac406a76af91b4f1,200,13.873060,6.387306,0.000000
pos_90074a0c3729702a,trade_7470141add57d328,fill_22e35b7909ac9a01,initial_entry,cand_c16bcfd86f9e9cc5,intent_9533a159d8298a8a,pend_ac917c2656dc8ef8,100,119.819880,5.119820,376.828000
pos_4b616e7a705c98a2,trade_b1b6268d2252f571,fill_637064ed72586454,initial_entry,cand_6215266782bf8ea7,intent_9b8f4825756334ba,pend_83c4b9311d1bb57f,1000,6.703350,5.067033,539.150000
pos_698b4358c60b8c4c,trade_f29cbfcb4ed52d6e,fill_6e58d034dc54de18,final_exit,cand_5e5f3cc8567452b2,intent_044d1ac59db2e27c,pend_7223cdbeac4c088f,1000,5.117440,7.609894,0.000000
pos_90074a0c3729702a,trade_7470141add57d328,fill_504adf699843ff24,final_exit,cand_c16bcfd86f9e9cc5,intent_9533a159d8298a8a,pend_ac917c2656dc8ef8,100,112.943500,10.760119,0.000000
pos_80c680d5dd92971f,trade_ff612e122988c51f,fill_2c62351c26b613ee,final_exit,cand_ce317c6ee7bc3126,intent_bec463ec5e3e2485,pend_30a828fe427b235b,400,33.513235,11.702647,0.000000
pos_4b616e7a705c98a2,trade_b1b6268d2252f571,fill_101c1a246ccd95a0,pyramid_add,cand_6215266782bf8ea7,intent_9b8f4825756334ba,pend_83c4b9311d1bb57f,700,7.003500,5.049024,251.370000
pos_0430f5fcd40c86a2,trade_59920cf44a5a0c49,fill_86392d7a8d31118d,initial_entry,cand_fd80f613e72b90ae,intent_4c4ffec47b67f98d,pend_962e0bb4fc8d23c0,400,24.112050,5.000000,550.420000
pos_51c8ea4d3d28f063,trade_1d85474cde11f119,fill_4e6e5e029ea8d3f9,initial_entry,cand_235d13b697e8cbfa,intent_b3e451c7af22e7d9,pend_f1a1be876f754604,800,16.888440,5.135108,135.712000
