date,candidate_count,spearman_ic
2026-01-05,7,0.738769
2026-01-06,9,0.410045
2026-01-07,5,-0.153897
2026-01-08,6,-0.029424
2026-01-09,13,0.129656
2026-01-12,7,0.542649
2026-01-13,2,-1.000000
2026-01-15,5,0.670820
2026-01-16,9,-0.161040
2026-01-19,5,0.872082
2026-01-22,5,0.461690
2026-01-23,4,0.316228
2026-01-26,6,-0.028989
2026-01-28,5,0.102598
2026-01-30,3,0.866025
2026-02-02,2,-1.000000
2026-02-03,2,-1.000000
2026-02-04,7,0.774806
2026-02-09,7,0.605734
2026-02-10,10,0.449809
2026-02-11,4,1.000000
2026-02-12,9,-0.474644
2026-02-13,2,1.000000
2026-02-24,12,-0.242471
2026-02-25,22,-0.324531
2026-02-26,19,-0.058593
2026-02-27,9,0.641402
2026-03-02,8,0.048196
2026-03-03,2,1.000000
2026-03-05,5,0.872082
2026-03-06,7,0.198206
2026-03-09,6,0.676763
2026-03-10,6,0.794461
2026-03-11,5,0.900000
2026-03-12,9,0.652725
2026-03-16,2,-1.000000
2026-03-19,3,-1.000000
2026-03-25,3,0.500000
2026-03-26,4,-0.737865
2026-03-27,3,0.500000
2026-03-30,6,-0.840668
2026-03-31,3,-0.500000
2026-04-02,3,0.500000
2026-04-08,9,-0.137620
2026-04-09,10,-0.633921
2026-04-10,10,0.110782
2026-04-13,6,0.428571
2026-04-14,5,-0.300000
2026-04-15,4,0.000000
2026-04-16,4,-0.400000
2026-04-17,8,-0.214286
2026-04-20,4,-0.800000
2026-04-21,5,-0.205196
2026-04-22,3,-0.500000
2026-04-23,7,0.370625
2026-04-27,8,0.167668
2026-04-28,3,-0.500000
2026-04-29,4,0.000000
2026-04-30,8,-0.024098
2026-05-06,14,-0.092922
2026-05-07,6,0.142857
2026-05-08,5,0.900000
2026-05-11,11,-0.383566
2026-05-12,7,0.000000
2026-05-13,8,-0.012049
2026-05-14,5,0.974679
2026-05-19,3,0.000000
2026-05-20,5,-0.700000
2026-05-21,4,0.894427
2026-05-25,7,0.403823
2026-05-26,2,1.000000
2026-05-27,3,-0.866025
2026-05-29,3,1.000000
2026-06-02,5,-0.359092
2026-06-03,4,-0.774597
2026-06-04,4,-0.737865
2026-06-08,2,-1.000000
2026-06-09,2,1.000000
2026-06-10,6,-0.735612
2026-06-11,2,0.000000
2026-06-12,3,-0.500000
2026-06-16,9,-0.093169
2026-06-17,10,-0.006556
2026-06-18,11,-0.153141
2026-06-22,14,-0.212038
2026-06-23,3,0.000000
2026-06-24,2,-1.000000
2026-06-25,3,0.000000
2026-06-26,6,-0.212512
2026-06-29,5,-0.359092
2026-06-30,6,0.845154
2026-07-01,11,0.491203
2026-07-03,2,1.000000
2026-07-06,2,-1.000000
