run,trade_count,total_return_proxy,cagr_proxy,max_drawdown_proxy,sharpe_proxy,profit_factor,win_rate,cluster_expectancy
0,409,0.039573,0.498625,-0.355552,0.540457,1.558683,0.454768,0.039573
1,409,0.030402,0.383067,-0.386988,0.414413,1.402843,0.447433,0.030402
2,409,0.029229,0.368287,-0.420085,0.398396,1.386992,0.430318,0.029229
3,409,0.030204,0.380567,-0.420085,0.421696,1.403941,0.447433,0.030204
4,409,0.024602,0.309981,-0.376111,0.358370,1.341837,0.422983,0.024602
5,409,0.019119,0.240902,-0.420085,0.277503,1.247957,0.435208,0.019119
6,409,0.024791,0.312371,-0.420085,0.363537,1.343187,0.425428,0.024791
7,409,0.030689,0.386687,-0.355552,0.415580,1.407236,0.427873,0.030689
8,409,0.025107,0.316353,-0.386988,0.345032,1.321969,0.432763,0.025107
9,409,0.015558,0.196032,-0.355552,0.230890,1.198380,0.425428,0.015558
10,409,0.032808,0.413377,-0.355552,0.470406,1.470943,0.449878,0.032808
11,409,0.020025,0.252311,-0.386988,0.291936,1.265397,0.427873,0.020025
12,409,0.028991,0.365290,-0.386988,0.415269,1.399739,0.447433,0.028991
13,409,0.029273,0.368839,-0.355552,0.409535,1.396612,0.435208,0.029273
14,409,0.030137,0.379727,-0.386988,0.417155,1.402390,0.432763,0.030137
15,409,0.028788,0.362728,-0.420085,0.414422,1.397466,0.444988,0.028788
16,409,0.035498,0.447276,-0.355552,0.479425,1.495698,0.444988,0.035498
17,409,0.037058,0.466927,-0.376111,0.497171,1.515224,0.452323,0.037058
18,409,0.027943,0.352081,-0.355552,0.396747,1.380730,0.437653,0.027943
19,409,0.021499,0.270890,-0.376111,0.311998,1.289757,0.432763,0.021499
20,409,0.034406,0.433518,-0.386988,0.475664,1.469805,0.449878,0.034406
21,409,0.034752,0.437870,-0.355552,0.460678,1.473813,0.444988,0.034752
22,409,0.028299,0.356566,-0.386988,0.401382,1.382914,0.447433,0.028299
23,409,0.033041,0.416312,-0.420085,0.457065,1.454482,0.440098,0.033041
24,409,0.039689,0.500083,-0.386988,0.527521,1.544412,0.452323,0.039689
25,409,0.027858,0.351011,-0.420085,0.390799,1.376566,0.447433,0.027858
26,409,0.022049,0.277812,-0.386988,0.316828,1.294937,0.432763,0.022049
27,409,0.035055,0.441693,-0.420085,0.475023,1.482055,0.457213,0.035055
28,409,0.031186,0.392940,-0.386988,0.423093,1.413617,0.444988,0.031186
29,409,0.028622,0.360640,-0.386988,0.410873,1.393743,0.437653,0.028622
30,409,0.024700,0.311215,-0.376111,0.352465,1.331254,0.435208,0.024700
31,409,0.024762,0.312001,-0.355552,0.357694,1.338731,0.437653,0.024762
32,409,0.028934,0.364562,-0.420085,0.416232,1.398912,0.447433,0.028934
33,409,0.038649,0.486971,-0.376111,0.517581,1.546555,0.447433,0.038649
34,409,0.030763,0.387609,-0.376111,0.450317,1.431772,0.452323,0.030763
35,409,0.030142,0.379786,-0.420085,0.408621,1.400136,0.435208,0.030142
36,409,0.033247,0.418914,-0.355552,0.451218,1.456703,0.437653,0.033247
37,409,0.031263,0.393917,-0.386988,0.428244,1.428877,0.452323,0.031263
38,409,0.033306,0.419650,-0.386988,0.446671,1.454055,0.440098,0.033306
39,409,0.036901,0.464953,-0.420085,0.532725,1.538996,0.464548,0.036901
40,409,0.029472,0.371346,-0.386988,0.399806,1.387349,0.432763,0.029472
41,409,0.036446,0.459221,-0.420085,0.494193,1.498960,0.452323,0.036446
42,409,0.028582,0.360137,-0.376111,0.420884,1.395781,0.459658,0.028582
43,409,0.030725,0.387129,-0.386988,0.414889,1.405583,0.432763,0.030725
44,409,0.028330,0.356958,-0.355552,0.398983,1.384778,0.442543,0.028330
45,409,0.032384,0.408032,-0.420085,0.448673,1.439908,0.449878,0.032384
46,409,0.026648,0.335763,-0.420085,0.371728,1.353522,0.440098,0.026648
47,409,0.027533,0.346913,-0.355552,0.399959,1.386314,0.449878,0.027533
48,409,0.023756,0.299325,-0.376111,0.333481,1.308355,0.430318,0.023756
49,409,0.024788,0.312324,-0.355552,0.347593,1.332318,0.432763,0.024788
50,409,0.028466,0.358666,-0.376111,0.404948,1.392835,0.442543,0.028466
51,409,0.034319,0.432418,-0.376111,0.476667,1.477720,0.447433,0.034319
52,409,0.031552,0.397552,-0.376111,0.441306,1.436586,0.457213,0.031552
53,409,0.034410,0.433568,-0.420085,0.474488,1.480680,0.444988,0.034410
54,409,0.035959,0.453081,-0.420085,0.510079,1.509105,0.462103,0.035959
55,409,0.028148,0.354667,-0.376111,0.391072,1.377136,0.437653,0.028148
56,409,0.033783,0.425661,-0.355552,0.469486,1.470444,0.457213,0.033783
57,409,0.031633,0.398579,-0.420085,0.438403,1.428704,0.454768,0.031633
58,409,0.023508,0.296196,-0.386988,0.334966,1.305841,0.444988,0.023508
59,409,0.029259,0.368661,-0.355552,0.424356,1.404000,0.442543,0.029259
60,409,0.026110,0.328984,-0.376111,0.382227,1.359877,0.449878,0.026110
61,409,0.035216,0.443725,-0.355552,0.488649,1.500969,0.452323,0.035216
62,409,0.031124,0.392165,-0.355552,0.442989,1.432814,0.444988,0.031124
63,409,0.024492,0.308599,-0.376111,0.337957,1.323448,0.422983,0.024492
64,409,0.024552,0.309354,-0.355552,0.360868,1.337738,0.435208,0.024552
65,409,0.035369,0.445655,-0.355552,0.498957,1.506826,0.452323,0.035369
66,409,0.031686,0.399239,-0.386988,0.421076,1.412364,0.437653,0.031686
67,409,0.021717,0.273635,-0.376111,0.311028,1.289264,0.437653,0.021717
68,409,0.031325,0.394689,-0.355552,0.450781,1.438732,0.447433,0.031325
69,409,0.037044,0.466748,-0.376111,0.523412,1.522590,0.466993,0.037044
70,409,0.031367,0.395220,-0.386988,0.437317,1.434917,0.447433,0.031367
71,409,0.031321,0.394642,-0.355552,0.457183,1.456681,0.447433,0.031321
72,409,0.042927,0.540879,-0.376111,0.574771,1.618570,0.464548,0.042927
73,409,0.027740,0.349518,-0.420085,0.395428,1.378201,0.449878,0.027740
74,409,0.031826,0.401007,-0.420085,0.442742,1.449834,0.427873,0.031826
75,409,0.029090,0.366533,-0.420085,0.409550,1.399942,0.440098,0.029090
76,409,0.028039,0.353290,-0.386988,0.388512,1.376062,0.432763,0.028039
77,409,0.030829,0.388442,-0.376111,0.417875,1.415260,0.452323,0.030829
78,409,0.031083,0.391647,-0.420085,0.423755,1.418595,0.440098,0.031083
79,409,0.022488,0.283353,-0.420085,0.330803,1.299539,0.444988,0.022488
80,409,0.035902,0.452367,-0.355552,0.492970,1.494266,0.447433,0.035902
81,409,0.026836,0.338132,-0.355552,0.373334,1.355366,0.440098,0.026836
82,409,0.030198,0.380497,-0.420085,0.415187,1.410273,0.444988,0.030198
83,409,0.014678,0.184948,-0.420085,0.221945,1.192344,0.418093,0.014678
84,409,0.036297,0.457348,-0.355552,0.479214,1.495986,0.442543,0.036297
85,409,0.028171,0.354951,-0.355552,0.403808,1.382346,0.444988,0.028171
86,409,0.027719,0.349262,-0.386988,0.385874,1.365494,0.435208,0.027719
87,409,0.032187,0.405553,-0.355552,0.445974,1.440473,0.440098,0.032187
88,409,0.023181,0.292080,-0.420085,0.331545,1.307551,0.427873,0.023181
89,409,0.025778,0.324805,-0.355552,0.371523,1.356170,0.427873,0.025778
90,409,0.034589,0.435818,-0.355552,0.477815,1.484813,0.452323,0.034589
91,409,0.040512,0.510446,-0.376111,0.538205,1.561742,0.454768,0.040512
92,409,0.028738,0.362102,-0.386988,0.405487,1.386575,0.452323,0.028738
