date,loaded,data_ready,eligible,alpha_pass,entry_pass,regime_pass,sector_data_available,four_no_pass,stop_valid,rr_pass,position_neutral_sizing_feasible,hard_pass
2026-01-05,5247,5203,1399,1238,3556,5203,5203,46,5203,67,5107,7
2026-01-06,5247,5204,1426,1292,3451,5204,5204,56,5204,78,5107,9
2026-01-07,5247,5205,1451,1139,2660,5205,5205,84,5205,109,5106,5
2026-01-08,5247,5204,1481,1400,3031,5204,5204,57,5204,81,5110,6
2026-01-09,5247,5203,1512,1578,2964,5203,5203,100,5203,122,5097,13
2026-01-12,5247,5203,1567,1833,2682,5203,5203,97,5203,160,5078,7
2026-01-13,5247,5196,1620,1230,2341,5196,5196,93,5196,153,5091,2
2026-01-14,5247,5198,1693,1496,2765,5198,5198,59,5198,91,5082,1
2026-01-15,5247,5200,1722,1393,2009,5200,5200,85,5200,119,5093,5
2026-01-16,5247,5202,1758,1588,2064,5202,5202,115,5202,150,5085,9
2026-01-19,5247,5203,1793,1859,2572,5203,5203,103,5203,120,5096,5
2026-01-20,5247,5209,1822,1559,2332,5209,5209,94,5209,112,5114,1
2026-01-21,5247,5206,1854,1906,2522,5206,5206,81,5206,92,5086,1
2026-01-22,5247,5206,1871,2124,2749,5206,5206,104,5206,122,5095,5
2026-01-23,5247,5207,1902,2640,3000,5207,5207,98,5207,124,5080,4
2026-01-26,5247,5203,1942,1916,2708,5203,5203,111,5203,149,5102,6
2026-01-27,5247,5203,1967,1885,2897,5203,5203,36,5203,44,5069,0
2026-01-28,5247,5202,1993,1583,2302,5202,5202,87,5202,110,5091,5
2026-01-29,5247,5202,2034,1303,2474,5202,5202,69,5202,88,5097,1
2026-01-30,5247,5199,2057,1390,2624,5199,5199,25,5199,45,5082,3
2026-02-02,5247,5201,2075,934,1746,5201,5201,88,5201,127,5104,2
2026-02-03,5247,5201,2056,1649,3168,5201,5201,26,5201,48,5083,2
2026-02-04,5247,5204,2042,1523,2835,5204,5204,70,5204,87,5100,7
2026-02-05,5247,5203,2030,1152,2074,5203,5203,42,5203,55,5100,1
2026-02-06,5247,5201,2013,1331,2631,5201,5201,24,5201,38,5097,0
