run,avg_forward_return_20d,largest_tie_bucket,unique_score_ratio,effective_ranking_resolution
0,0.054652,3,0.861702,adequate
1,0.054652,3,0.861702,adequate
2,0.054652,3,0.861702,adequate
3,0.054652,3,0.861702,adequate
4,0.054652,3,0.861702,adequate
5,0.054652,3,0.861702,adequate
6,0.054652,3,0.861702,adequate
7,0.054652,3,0.861702,adequate
8,0.054652,3,0.861702,adequate
9,0.054652,3,0.861702,adequate
10,0.054652,3,0.861702,adequate
11,0.054652,3,0.861702,adequate
12,0.054652,3,0.861702,adequate
13,0.054652,3,0.861702,adequate
14,0.054652,3,0.861702,adequate
15,0.054652,3,0.861702,adequate
16,0.054652,3,0.861702,adequate
17,0.054652,3,0.861702,adequate
18,0.054652,3,0.861702,adequate
19,0.054652,3,0.861702,adequate
20,0.054652,3,0.861702,adequate
21,0.054652,3,0.861702,adequate
22,0.054652,3,0.861702,adequate
23,0.054652,3,0.861702,adequate
24,0.054652,3,0.861702,adequate
25,0.054652,3,0.861702,adequate
26,0.054652,3,0.861702,adequate
27,0.054652,3,0.861702,adequate
28,0.054652,3,0.861702,adequate
29,0.054652,3,0.861702,adequate
30,0.054652,3,0.861702,adequate
31,0.054652,3,0.861702,adequate
32,0.054652,3,0.861702,adequate
33,0.054652,3,0.861702,adequate
34,0.054652,3,0.861702,adequate
35,0.054652,3,0.861702,adequate
36,0.054652,3,0.861702,adequate
37,0.054652,3,0.861702,adequate
38,0.054652,3,0.861702,adequate
39,0.054652,3,0.861702,adequate
40,0.054652,3,0.861702,adequate
41,0.054652,3,0.861702,adequate
42,0.054652,3,0.861702,adequate
43,0.054652,3,0.861702,adequate
44,0.054652,3,0.861702,adequate
45,0.054652,3,0.861702,adequate
46,0.054652,3,0.861702,adequate
47,0.054652,3,0.861702,adequate
48,0.054652,3,0.861702,adequate
49,0.054652,3,0.861702,adequate
50,0.054652,3,0.861702,adequate
51,0.054652,3,0.861702,adequate
52,0.054652,3,0.861702,adequate
53,0.054652,3,0.861702,adequate
54,0.054652,3,0.861702,adequate
55,0.054652,3,0.861702,adequate
56,0.054652,3,0.861702,adequate
57,0.054652,3,0.861702,adequate
58,0.054652,3,0.861702,adequate
59,0.054652,3,0.861702,adequate
60,0.054652,3,0.861702,adequate
61,0.054652,3,0.861702,adequate
62,0.054652,3,0.861702,adequate
63,0.054652,3,0.861702,adequate
64,0.054652,3,0.861702,adequate
65,0.054652,3,0.861702,adequate
66,0.054652,3,0.861702,adequate
67,0.054652,3,0.861702,adequate
68,0.054652,3,0.861702,adequate
69,0.054652,3,0.861702,adequate
70,0.054652,3,0.861702,adequate
71,0.054652,3,0.861702,adequate
72,0.054652,3,0.861702,adequate
73,0.054652,3,0.861702,adequate
74,0.054652,3,0.861702,adequate
75,0.054652,3,0.861702,adequate
76,0.054652,3,0.861702,adequate
77,0.054652,3,0.861702,adequate
78,0.054652,3,0.861702,adequate
79,0.054652,3,0.861702,adequate
80,0.054652,3,0.861702,adequate
81,0.054652,3,0.861702,adequate
82,0.054652,3,0.861702,adequate
83,0.054652,3,0.861702,adequate
84,0.054652,3,0.861702,adequate
85,0.054652,3,0.861702,adequate
86,0.054652,3,0.861702,adequate
87,0.054652,3,0.861702,adequate
88,0.054652,3,0.861702,adequate
89,0.054652,3,0.861702,adequate
90,0.054652,3,0.861702,adequate
91,0.054652,3,0.861702,adequate
92,0.054652,3,0.861702,adequate
93,0.054652,3,0.861702,adequate
94,0.054652,3,0.861702,adequate
95,0.054652,3,0.861702,adequate
96,0.054652,3,0.861702,adequate
97,0.054652,3,0.861702,adequate
98,0.054652,3,0.861702,adequate
99,0.054652,3,0.861702,adequate
100,0.054652,3,0.861702,adequate
101,0.054652,3,0.861702,adequate
102,0.054652,3,0.861702,adequate
103,0.054652,3,0.861702,adequate
104,0.054652,3,0.861702,adequate
105,0.054652,3,0.861702,adequate
106,0.054652,3,0.861702,adequate
107,0.054652,3,0.861702,adequate
108,0.054652,3,0.861702,adequate
109,0.054652,3,0.861702,adequate
110,0.054652,3,0.861702,adequate
111,0.054652,3,0.861702,adequate
112,0.054652,3,0.861702,adequate
113,0.054652,3,0.861702,adequate
114,0.054652,3,0.861702,adequate
115,0.054652,3,0.861702,adequate
116,0.054652,3,0.861702,adequate
117,0.054652,3,0.861702,adequate
118,0.054652,3,0.861702,adequate
119,0.054652,3,0.861702,adequate
120,0.054652,3,0.861702,adequate
121,0.054652,3,0.861702,adequate
122,0.054652,3,0.861702,adequate
123,0.054652,3,0.861702,adequate
124,0.054652,3,0.861702,adequate
125,0.054652,3,0.861702,adequate
126,0.054652,3,0.861702,adequate
127,0.054652,3,0.861702,adequate
128,0.054652,3,0.861702,adequate
129,0.054652,3,0.861702,adequate
130,0.054652,3,0.861702,adequate
131,0.054652,3,0.861702,adequate
