window,date,quantile_count,quantile,candidate_count,average_future_return,average_excess_return,mfe,mae,target_hit_rate,stop_hit_rate
1,2026-01-09,5,1,3,0.025358,0.021109,0.035094,-0.007458,0.333333,1.000000
1,2026-01-09,5,2,3,0.046540,0.042291,0.056412,-0.014261,0.333333,0.666667
1,2026-01-09,5,3,3,0.009710,0.005461,0.037818,-0.031312,0.333333,0.666667
1,2026-01-09,5,4,3,0.001985,-0.002264,0.025843,-0.022901,0.333333,1.000000
1,2026-01-09,5,5,1,0.050515,0.046267,0.058144,-0.038144,0.000000,0.000000
1,2026-02-10,5,1,2,0.006567,0.006959,0.026814,-0.009932,1.000000,0.500000
1,2026-02-10,5,2,2,0.045740,0.046133,0.056777,-0.007320,1.000000,0.500000
1,2026-02-10,5,3,2,0.021373,0.021766,0.057484,-0.004901,0.500000,0.500000
1,2026-02-10,5,4,2,-0.006688,-0.006295,0.030887,-0.022122,0.500000,1.000000
1,2026-02-10,5,5,2,0.014224,0.014617,0.039538,-0.001442,0.500000,0.500000
1,2026-02-24,5,1,3,0.036779,0.032046,0.053642,-0.012258,0.333333,1.000000
1,2026-02-24,5,2,3,0.018267,0.013534,0.047406,-0.016870,0.333333,1.000000
1,2026-02-24,5,3,3,0.029271,0.024538,0.041505,-0.026168,0.333333,1.000000
1,2026-02-24,5,4,3,0.001487,-0.003246,0.034084,-0.030057,0.333333,1.000000
1,2026-02-25,10,1,3,0.001384,0.004445,0.035213,-0.040592,0.000000,1.000000
1,2026-02-25,10,2,3,0.038341,0.041403,0.053373,-0.006773,0.333333,0.666667
1,2026-02-25,10,3,3,0.044811,0.047872,0.053428,-0.011614,0.000000,1.000000
1,2026-02-25,10,4,3,-0.000206,0.002855,0.022618,-0.020211,0.000000,1.000000
1,2026-02-25,10,5,3,0.004916,0.007977,0.030727,-0.017166,0.333333,0.666667
1,2026-02-25,10,6,3,0.001733,0.004794,0.031181,-0.041705,0.666667,1.000000
1,2026-02-25,10,7,3,0.054446,0.057508,0.075447,-0.008024,0.666667,1.000000
1,2026-02-25,10,8,1,-0.008386,-0.005324,0.009434,-0.014675,1.000000,1.000000
1,2026-02-26,5,1,4,0.008549,0.005921,0.024063,-0.014006,0.000000,1.000000
1,2026-02-26,5,2,4,0.026293,0.023665,0.034589,-0.021198,0.000000,1.000000
1,2026-02-26,5,3,4,0.017222,0.014595,0.040076,-0.013427,0.000000,1.000000
1,2026-02-26,5,4,4,-0.011570,-0.014198,0.028520,-0.033071,0.750000,1.000000
1,2026-02-26,5,5,3,0.002275,-0.000353,0.014638,-0.017996,0.000000,1.000000
1,2026-04-09,5,1,2,0.003915,-0.005142,0.031852,-0.018364,0.000000,1.000000
1,2026-04-09,5,2,2,0.011853,0.002796,0.031775,-0.009004,0.000000,0.500000
1,2026-04-09,5,3,2,-0.012971,-0.022028,0.030431,-0.043499,1.000000,0.000000
1,2026-04-09,5,4,2,-0.027437,-0.036495,0.017168,-0.032649,1.000000,0.500000
1,2026-04-09,5,5,2,-0.010536,-0.019594,0.020376,-0.022199,1.000000,0.000000
1,2026-04-10,5,1,2,0.014536,0.007815,0.030807,-0.016056,0.500000,0.500000
1,2026-04-10,5,2,2,0.078728,0.072006,0.090141,-0.005444,0.500000,0.500000
1,2026-04-10,5,3,2,-0.008142,-0.014864,0.018208,-0.021180,0.000000,0.500000
1,2026-04-10,5,4,2,0.038871,0.032149,0.058657,-0.030863,1.000000,0.000000
1,2026-04-10,5,5,2,0.039234,0.032512,0.061107,-0.000639,0.500000,0.500000
