run,selection_policy,selected_candidate_set_hash,trade_candidate_set_hash,selected_count,trade_overlap,total_return,cagr,max_drawdown,sharpe,calmar,profit_factor,trade_count,cluster_expectancy_ci95_low,cluster_expectancy_ci95_high,engine_scope
0,RANDOM,570a4539a6e7df806352197f066c425e8c8d78eb4b437056e73c82620627c037,570a4539a6e7df806352197f066c425e8c8d78eb4b437056e73c82620627c037,30,,0.737480,0.737480,-0.080014,2.652068,9.216901,4.233977,30,,,stateful_replay_over_full_engine_hard_pass
1,RANDOM,c99e19c6b397a434480de715b39858f1d188e899dc17bfff5ce31f3d60ed58ad,c99e19c6b397a434480de715b39858f1d188e899dc17bfff5ce31f3d60ed58ad,30,,0.249800,0.249800,-0.105456,1.416947,2.368769,1.767628,30,,,stateful_replay_over_full_engine_hard_pass
2,RANDOM,f2efba35812759aa007003b5b02e2b10a4d04ae0e68a8c8695b1589846539c21,f2efba35812759aa007003b5b02e2b10a4d04ae0e68a8c8695b1589846539c21,30,,0.327966,0.327966,-0.094161,2.020317,3.483020,2.037126,30,,,stateful_replay_over_full_engine_hard_pass
3,RANDOM,05ecf12fdf367f7f71fcec789f8a6b26e15c9587ab6ebe742007b192ef6926ce,05ecf12fdf367f7f71fcec789f8a6b26e15c9587ab6ebe742007b192ef6926ce,30,,-0.008733,-0.008733,-0.206319,-0.824074,-0.042326,0.977801,30,,,stateful_replay_over_full_engine_hard_pass
4,RANDOM,d2dc25275d06011cdcc2fa89066aac297c13204cf7b553906531848f15a72d5a,d2dc25275d06011cdcc2fa89066aac297c13204cf7b553906531848f15a72d5a,30,,0.588870,0.588870,-0.035359,3.283366,16.653869,4.119064,30,,,stateful_replay_over_full_engine_hard_pass
5,RANDOM,507d3299f6aee7cc22151767f01532de34424e91a7c47d8535e14acad6b783b6,507d3299f6aee7cc22151767f01532de34424e91a7c47d8535e14acad6b783b6,30,,0.745100,0.745100,-0.059649,3.023355,12.491308,3.905633,30,,,stateful_replay_over_full_engine_hard_pass
6,RANDOM,1241cc47ccebd64244961d672614c78f080073c81abf31f7d7a8fb3932120991,1241cc47ccebd64244961d672614c78f080073c81abf31f7d7a8fb3932120991,30,,0.477044,0.477044,-0.061649,2.666098,7.738068,2.675001,30,,,stateful_replay_over_full_engine_hard_pass
7,RANDOM,8fb85716416559b12a273e8a70169558c664f36a8ce1863d069fcaa33952ce62,8fb85716416559b12a273e8a70169558c664f36a8ce1863d069fcaa33952ce62,30,,0.158240,0.158240,-0.122930,1.196188,1.287235,1.458273,30,,,stateful_replay_over_full_engine_hard_pass
8,RANDOM,8897fca5667e052d1a6b6a5ca581f18dbcb74d643ff29e8fc2ec9d43e1ce2ad4,8897fca5667e052d1a6b6a5ca581f18dbcb74d643ff29e8fc2ec9d43e1ce2ad4,30,,0.720747,0.720747,-0.036456,3.389887,19.770564,3.670098,30,,,stateful_replay_over_full_engine_hard_pass
9,RANDOM,37a427fd143b8739054bdbd09560bdb5f23b741cfa63d54f60abd09302763490,37a427fd143b8739054bdbd09560bdb5f23b741cfa63d54f60abd09302763490,30,,0.339286,0.339286,-0.180830,1.261160,1.876264,1.695987,30,,,stateful_replay_over_full_engine_hard_pass
