date,eligible,eligible_and_alpha,plus_entry,plus_regime,plus_sector_data,plus_four_no,plus_stop_valid,plus_rr,plus_sizing,hard_pass
2026-01-05,1399,535,371,371,371,7,7,7,7,7
2026-01-06,1426,598,370,370,370,9,9,9,9,9
2026-01-07,1451,541,298,298,298,6,6,6,5,5
2026-01-08,1481,605,300,300,300,6,6,6,6,6
2026-01-09,1512,703,364,364,364,13,13,13,13,13
2026-01-12,1567,789,346,346,346,7,7,7,7,7
2026-01-13,1620,474,219,219,219,2,2,2,2,2
2026-01-14,1693,655,374,374,374,1,1,1,1,1
2026-01-15,1722,585,334,334,334,6,6,6,5,5
2026-01-16,1758,671,376,376,376,9,9,9,9,9
2026-01-19,1793,740,423,423,423,5,5,5,5,5
2026-01-20,1822,564,295,295,295,1,1,1,1,1
2026-01-21,1854,718,440,440,440,1,1,1,1,1
2026-01-22,1871,794,450,450,450,5,5,5,5,5
2026-01-23,1902,1016,669,669,669,4,4,4,4,4
2026-01-26,1942,647,329,329,329,7,7,7,6,6
2026-01-27,1967,745,470,470,470,0,0,0,0,0
2026-01-28,1993,667,381,381,381,7,7,7,5,5
2026-01-29,2034,537,318,318,318,1,1,1,1,1
2026-01-30,2057,455,329,329,329,3,3,3,3,3
2026-02-02,2075,285,187,187,187,3,3,3,2,2
2026-02-03,2056,666,547,547,547,3,3,3,2,2
2026-02-04,2042,513,402,402,402,8,8,8,7,7
2026-02-05,2030,341,238,238,238,1,1,1,1,1
2026-02-06,2013,395,304,304,304,0,0,0,0,0
2026-02-09,1974,588,465,465,465,7,7,7,7,7
2026-02-10,1929,448,329,329,329,11,11,11,10,10
2026-02-11,1866,439,315,315,315,5,5,5,4,4
2026-02-12,1843,571,460,460,460,12,12,12,9,9
2026-02-13,1805,378,276,276,276,3,3,3,2,2
2026-02-24,1787,591,490,490,490,12,12,12,12,12
2026-02-25,1771,720,606,606,606,22,22,22,22,22
2026-02-26,1759,698,526,526,526,19,19,19,19,19
2026-02-27,1758,768,541,541,541,9,9,9,9,9
2026-03-02,1753,606,367,367,367,8,8,8,8,8
2026-03-03,1748,331,182,182,182,4,4,4,2,2
2026-03-04,1727,418,288,288,288,1,1,1,1,1
2026-03-05,1711,494,336,336,336,6,6,6,5,5
2026-03-06,1688,506,349,349,349,8,8,8,7,7
