run,selection_policy,selected_candidate_set_hash,trade_candidate_set_hash,selected_count,trade_overlap,total_return,cagr,max_drawdown,sharpe,calmar,profit_factor,trade_count,cluster_expectancy_ci95_low,cluster_expectancy_ci95_high,engine_scope
0,RANDOM_WITHIN_TIES,7ec5365026a57977b1c1fa32904ee23871254fd99e5c985b0f0fdb445baae654,7ec5365026a57977b1c1fa32904ee23871254fd99e5c985b0f0fdb445baae654,30,16,0.321398,0.321398,-0.110283,2.033668,2.914288,2.022033,30,,,stateful_replay_over_full_engine_hard_pass
1,RANDOM_WITHIN_TIES,10bbbf41e3ee257c62bcdb35981a6194c77f9f735a3169fbf60511e246b3ba86,10bbbf41e3ee257c62bcdb35981a6194c77f9f735a3169fbf60511e246b3ba86,30,17,0.264764,0.264764,-0.126511,1.717156,2.092821,1.841941,30,,,stateful_replay_over_full_engine_hard_pass
2,RANDOM_WITHIN_TIES,4ff88de24ac4d42a238d07a625d8214f3a31dfc3e66aa08c0dd8098532597dda,4ff88de24ac4d42a238d07a625d8214f3a31dfc3e66aa08c0dd8098532597dda,30,17,0.307347,0.307347,-0.111359,1.961308,2.759964,2.007372,30,,,stateful_replay_over_full_engine_hard_pass
3,RANDOM_WITHIN_TIES,679fb2cf9d5b9172d806ddbcbb44a048080814de36d1788885f62f4ae6aafa7d,679fb2cf9d5b9172d806ddbcbb44a048080814de36d1788885f62f4ae6aafa7d,30,16,0.340398,0.340398,-0.109256,2.099676,3.115614,2.135486,30,,,stateful_replay_over_full_engine_hard_pass
4,RANDOM_WITHIN_TIES,1529e9198cfc9a6c33396fa45a53ccf77cd1d34e640f9f1fe17211df074306f7,1529e9198cfc9a6c33396fa45a53ccf77cd1d34e640f9f1fe17211df074306f7,30,16,0.335083,0.335083,-0.109256,2.099676,3.066959,2.098279,30,,,stateful_replay_over_full_engine_hard_pass
5,RANDOM_WITHIN_TIES,9ff127728adfd75a211dcc3c4b704a4de7e5b29d870b1d698062fbd95c52ff4d,9ff127728adfd75a211dcc3c4b704a4de7e5b29d870b1d698062fbd95c52ff4d,30,15,0.363625,0.363625,-0.107554,2.201070,3.380854,2.212966,30,,,stateful_replay_over_full_engine_hard_pass
6,RANDOM_WITHIN_TIES,cd121143204542240b0873ac77d490046142b8e47e7c1d54316a5e32babdb57b,cd121143204542240b0873ac77d490046142b8e47e7c1d54316a5e32babdb57b,30,16,0.326713,0.326713,-0.110283,2.033668,2.962489,2.056801,30,,,stateful_replay_over_full_engine_hard_pass
7,RANDOM_WITHIN_TIES,9ff127728adfd75a211dcc3c4b704a4de7e5b29d870b1d698062fbd95c52ff4d,9ff127728adfd75a211dcc3c4b704a4de7e5b29d870b1d698062fbd95c52ff4d,30,15,0.363625,0.363625,-0.107554,2.201070,3.380854,2.212966,30,,,stateful_replay_over_full_engine_hard_pass
8,RANDOM_WITHIN_TIES,cefcb10445b03ef4210b5c375f87a47a6f1fa67a45b577d5f62ab0f7715957ac,cefcb10445b03ef4210b5c375f87a47a6f1fa67a45b577d5f62ab0f7715957ac,30,16,0.369296,0.369296,-0.107147,2.223740,3.446631,2.231882,30,,,stateful_replay_over_full_engine_hard_pass
9,RANDOM_WITHIN_TIES,e3c4c3959802d163e38b0e6074a363b1b19148ba44540a83e25a9c4bdbaca60b,e3c4c3959802d163e38b0e6074a363b1b19148ba44540a83e25a9c4bdbaca60b,30,17,0.298978,0.298978,-0.112427,1.886653,2.659306,1.967087,30,,,stateful_replay_over_full_engine_hard_pass
